case,V,zm_b,zm_c,zm_rmse,winner,winner_rmse,helps
same_exponent_1.5_1.5,10050,1.6526350423965548,0.0,0.1736829322402026,is,0.15983203110648045,True
small_gap_1.5_1.3,10050,1.4258416925838067,0.0,0.13609085939570587,is,0.1225954111613247,True
pure_single_1.5,10000,1.500000000000002,0.0,4.570028108266061e-15,exp,0.021992027097119116,False
