corpus,logistic_k,logistic_w,tanh_k,tanh_w,erf_k,erf_w,algebraic_k,algebraic_w
Complete Works of Shakespeare,245.1799307720734,1.2704441434786304,121.70630852516318,2.5888761137613536,104.8298709933316,2.9999999999995417,125.13411337338079,2.522199185701999
War and Peace,167.61037197710394,1.3908761280150792,79.7903721179564,2.9533279069570266,78.39265836443892,2.9999999999997575,78.64172054072058,2.999999999994612
Moby Dick,172.29660444070635,1.1526116535200732,275.60277455157365,0.7186545818976507,75.39773819264423,2.657632913179682,279.752849362985,0.7071741673872698
King James Bible,139.18042245735833,1.206307790343867,74.05082556321915,2.2918924997791175,56.60410762487622,2.9999997239314906,168.66053257448527,1.0017550120633945
Federalist Papers,77.01846941025158,1.4614791876149513,38.33697065567919,2.96535553548664,37.839221730203946,2.9999999999992166,134.9744038456966,0.8331215286714773
Grimm's Fairy Tales,295.83274181692707,0.1850631979113796,336.00330096300024,0.16099837350412344,355.5675056773795,0.1514186866404504,330.2194838488144,0.1640841864708132
Don Quixote,164.02003328006995,1.2036752381655762,91.05426305604905,2.190471166294421,74.54487190282299,2.675686791761202,97.83858250945666,2.0379209491965975
Pride and Prejudice,70.88572196207117,1.1423785184733684,47.55250707972725,1.7130750263940762,42.39501912852655,1.9301394163099355,391.16455519336773,0.1949046465302296
Canterbury Tales,134.2119523589147,1.4897003175201895,73.31880847940018,2.7392848167309296,66.89316656302924,2.999999999998957,69.88585579141994,2.8555194552569345
Arabian Nights (Vol 1),89.74620451986972,1.5827304063287007,49.66122297118996,2.866416404434797,47.450609520832415,2.999999999999859,417.0943470596947,0.32850479596724563
Aesop's Fables,250.79909890687756,0.17154462251525357,305.24968956208187,0.13833308957471713,313.9882707821154,0.13409440091185262,297.87518016304523,0.14209958092391003
Complete Sherlock Holmes,73.8917370296407,1.1792200966776498,362.0064206823069,0.22842036477142935,368.3697396816008,0.22423236957290815,352.0423077712412,0.2351704876628566
Jane Eyre,109.94814088472613,1.3680313276609635,60.71136877794435,2.4947224136779953,55.25563931626881,2.7397590442671076,357.29574431309607,0.4118950558411935
Dubliners,544.0369170321965,0.11951239516082011,562.1593582751884,0.11506636192298648,564.9843947351221,0.1143915562837318,555.2601305706032,0.1166677146222207
The Iliad,70.17101428697478,2.090855885094736,48.94733301829946,2.999999999999995,48.84841256650233,2.9999999999999996,48.814635827675296,2.9999999999999982
Democracy in America,78.85114528096787,1.5051645692587328,39.92640777554063,2.9999999999950444,39.850617156479686,2.999999999999977,130.07284806127126,0.9125578865994738
Origin of Species,52.643043892301954,1.7312447636621957,30.58401523638891,2.999999999999931,30.579761359665184,2.999999999999999,30.552253108433227,2.9999999998092473
Wealth of Nations,73.86619175502778,1.7115150930203922,42.4407482076347,2.9999999999999973,42.43802137694256,2.999999999999658,185.6740560902795,0.6759951721168498
Les Miserables,212.6243692971713,1.336442570576215,102.34553066734861,2.8091492076608655,95.4936554769909,2.9999999999999996,96.48180351502849,2.9856168596605506
Decline and Fall Vol 1,127.54483808636499,1.4577977506645468,62.63593038823048,2.9999999999999742,62.29926292615756,2.9999999999999996,62.71013723474227,2.9999999999998517
Emile,121.6640728464838,1.1145629056416988,73.53966271415214,1.8615349337323632,65.05074207028818,2.1059362083886204,120.84650373070974,1.1253971864020609
Ulysses,184.34773919684636,1.5405619063083855,94.68165096385276,2.999999999937044,94.10697062927966,2.9999999999999996,93.39143309202505,2.9999999999999787
Collected Poe,68.81349123711598,1.4761171457973563,37.630292765726516,2.712558603045333,34.001084726006525,2.9999999999999685,39.07292272438538,2.5963035734865283
Principia Ethica,33.081259098023985,1.400197260885078,20.00000000000001,2.3374461258515202,20.278654470392052,2.310190618614637,378.95502922579504,0.10806340854215618
Critique of Pure Reason,421.9794201244541,0.1692810476403111,25.810172797383352,2.9999999999999996,25.960617876536382,2.9999999999999996,486.8654261157188,0.14495149858494857
