slug,corpus,cutoff,winner_family,zipf_avg_nll,zm_avg_nll,moe_avg_nll,hierk_avg_nll,hierk_minus_moe,hierk_minus_zm,step2_helps,step2_gain,canonical_source
shakespeare,Complete Works of Shakespeare,top50,zm,4.621295752687553,4.527264531046672,4.589778232616867,4.542411270151828,-0.047366962465038576,0.015146739105156293,False,-0.03606887891401006,results/zipf_angle4_hierk/hierk_head_window_table.csv
shakespeare,Complete Works of Shakespeare,top100,zm,5.03036176207807,4.856260509102248,4.907014126684411,4.878209124165173,-0.028805002519237455,0.021948615062925114,False,-0.029149529947003053,results/zipf_angle4_hierk/hierk_head_window_table.csv
shakespeare,Complete Works of Shakespeare,top200,zm,5.366804742591818,5.159650864566742,5.190471416369825,5.18505307496784,-0.005418341401985494,0.025402210401098024,False,-0.023255332804424635,results/zipf_angle4_hierk/hierk_head_window_table.csv
shakespeare,Complete Works of Shakespeare,top500,zm,5.77683106823372,5.563381112185421,5.567993847246362,5.583025343751264,0.015031496504901654,0.019644231565843384,False,-0.01940617105792789,results/zipf_angle4_hierk/hierk_head_window_table.csv
shakespeare,Complete Works of Shakespeare,top1000,moe,6.089576819678412,5.889802372638554,5.879427381244254,5.8944053223852455,0.014977941140991824,0.004602949746691287,False,-0.01740766692626071,results/zipf_angle4_hierk/hierk_head_window_table.csv
shakespeare,Complete Works of Shakespeare,full,hier,6.987294124701005,6.886706263261564,6.885901469512454,6.881832677420709,-0.004068792091745266,-0.004873585840854844,False,-0.0010993735282118222,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,top50,zm,4.325236619823667,4.275979996778184,4.325511286777305,4.314806881183393,-0.010704405593911837,0.03882688440520887,False,-0.03132788354836029,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,top100,zm,4.689003372270712,4.599307303584137,4.631805028997445,4.641384555501705,0.009579526504259306,0.042077251917567615,False,-0.03155320250897318,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,top200,zm,5.068277611343874,4.958789141620635,4.969449850456851,4.9920344229572295,0.02258457250037882,0.03324528133659488,False,-0.013424085429804694,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,top500,moe,5.512708390081865,5.400835079951594,5.388830975970513,5.408256332923862,0.01942535695334957,0.00742125297226881,False,-0.008128488451579666,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,top1000,moe,5.8395185505993785,5.737250226979192,5.714696601918907,5.720496273986763,0.005799672067856143,-0.016753952992429433,False,-0.006353902310242729,results/zipf_angle4_hierk/hierk_head_window_table.csv
war_and_peace,War and Peace,full,moe,6.728314623077691,6.685806986839008,6.678027667860953,6.678419629848475,0.0003919619875212277,-0.007387356990533611,False,-0.0006952447900160086,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,top50,zm,4.325385795252989,4.299386655629538,4.336406023344887,4.317160351091151,-0.019245672253735968,0.017773695461612782,False,-0.007712522350886361,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,top100,zm,4.7098469427416205,4.653280753803315,4.677216267807484,4.674377608821627,-0.002838658985857556,0.021096855018311267,False,-0.017624851957897966,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,top200,zm,5.081858204040724,5.010766533924114,5.0186597494169805,5.0296993655390905,0.011039616122110019,0.018932831614976386,True,0.01876470111729346,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,top500,moe,5.499867085364925,5.426066436904787,5.417392532866205,5.433743119746289,0.016350586880084172,0.007676682841502469,True,0.0009992172332692617,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,top1000,moe,5.799932923406829,5.731191078822747,5.714449830630524,5.727988786729515,0.013538956098991584,-0.003202292093232195,False,-0.0014651323256501814,results/zipf_angle4_hierk/hierk_head_window_table.csv
moby_dick,Moby Dick,full,zm,6.963919141212996,6.947351041367365,6.94910570072398,6.950364024414742,0.0012583236907621753,0.0030129830473768493,False,-0.0015341791845677744,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,top50,zm,4.093816083027682,4.043901683848845,4.071734126584886,4.094485564535359,0.02275143795047274,0.05058388068651354,False,-0.0005042746504477502,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,top100,zm,4.503012163961198,4.413892733278405,4.420783044964394,4.4561194632573535,0.035336418292959415,0.04222672997894872,True,0.022614531086730144,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,top200,moe,4.865269651820569,4.762391958974505,4.750408508734183,4.781286724776776,0.03087821604259311,0.018894765802270896,True,0.03163139464001288,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,top500,moe,5.269100507205842,5.170225010729366,5.143056856768994,5.152075641427662,0.009018784658668011,-0.018149369301704077,False,-0.0020200316264246676,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,top1000,hier,5.534342256285429,5.446932553532536,5.415677384335553,5.408648037079022,-0.00702934725653126,-0.03828451645351372,True,0.008887830531428997,results/zipf_angle4_hierk/hierk_head_window_table.csv
king_james_bible,King James Bible,full,moe,6.080495234984778,6.0351662551816245,6.017965050637185,6.021012781327764,0.0030477306905787316,-0.014153473853860454,False,-0.00021637449385400465,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,top50,zm,3.9622843267298613,3.9393664224900085,3.960439514532199,3.9734008884242282,0.012961373892029115,0.03403446593421977,False,-0.028432616990027942,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,top100,zm,4.318394900171573,4.2841362697511745,4.2920872626111235,4.318987105373568,0.02689984276244406,0.034850835622393106,True,0.0030285270214091276,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,top200,moe,4.654103345743183,4.615970125093551,4.612844204105377,4.641210309399675,0.02836610529429784,0.025240184306123403,False,-0.00673860183512949,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,top500,moe,5.10360766334545,5.067653945040607,5.0544040279667115,5.0669103709668954,0.01250634300018394,-0.0007435740737111729,False,-0.007821689589865288,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,top1000,hier,5.430590360802245,5.400013297415596,5.383913651419427,5.379880168264257,-0.004033483155169826,-0.020133129151338913,True,0.003999620627842898,results/zipf_angle4_hierk/hierk_head_window_table.csv
federalist_papers,Federalist Papers,full,moe,6.207760950769132,6.199416070500408,6.196934223897512,6.1988231900840765,0.0018889661865646445,-0.0005928804163319867,False,-0.0014329539411224723,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,top50,zm,4.281724170552089,4.213477235752963,4.238581501119786,4.2629660725646845,0.024384571444898917,0.04948883681172145,False,-0.003034628822736918,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,top100,zm,4.64526343641277,4.5415687791666945,4.548900496877882,4.579149565317339,0.030249068439457183,0.03758078615064431,True,0.007320044176337401,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,top200,moe,5.026566569042341,4.912429719274276,4.900171433955745,4.92079620414882,0.020624770193074404,0.008366484874543723,False,-0.004952360782860862,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,top500,hier,5.43519422913028,5.332953496890163,5.306984750543116,5.306687217440934,-0.000297533102181724,-0.02626627944922877,False,-0.006471121817901895,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,top1000,hier,5.709966825674634,5.626605717552336,5.599285156397153,5.590132641269473,-0.009152515127680338,-0.03647307628286356,True,0.004847463794082962,results/zipf_angle4_hierk/hierk_head_window_table.csv
grimms_fairy_tales,Grimm's Fairy Tales,full,moe,6.128784795037904,6.088523680073925,6.077646160664019,6.081725042419086,0.004078881755066988,-0.006798637654839013,False,-0.0028828325684773504,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,top50,zm,4.38335904383722,4.295361115266339,4.337605761670451,4.305430068099789,-0.032175693570661856,0.010068952833449885,False,-0.010945688052140745,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,top100,zm,4.743061839623665,4.61212836831963,4.64031125966066,4.6255768572844955,-0.01473440237616419,0.01344848896486539,False,-0.022047881850583192,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,top200,zm,5.067623869253,4.920237830875505,4.931336929165749,4.935204193374613,0.003867264208864185,0.014966362499108321,False,-0.013179262753938034,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,top500,moe,5.459825717352129,5.314752812022188,5.307410846771591,5.323294105370717,0.01588325859912665,0.0085412933485296,False,-0.012869176574792439,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,top1000,moe,5.740769074289566,5.6082921736551965,5.592760068405524,5.606171592701923,0.013411524296398802,-0.0021205809532736097,False,-0.009882663199753991,results/zipf_angle4_hierk/hierk_head_window_table.csv
don_quixote,Don Quixote,full,hier,6.5561671213110975,6.496279797495423,6.49630277625205,6.496012769506018,-0.0002900067460318567,-0.00026702798940458905,False,-0.0012860634930662862,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,top50,zm,4.515950727443694,4.382694209325181,4.430041731448635,4.391415230870888,-0.03862650057774708,0.008721021545706975,False,-0.03949775493801578,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,top100,zm,4.872232354398044,4.691168709404083,4.722742261909364,4.703542749818141,-0.01919951209122317,0.012374040414057319,False,-0.03324194383073131,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,top200,zm,5.192640897342903,4.997719183981026,5.010428236970967,5.010866139955066,0.000437902984098848,0.013146955974040253,False,-0.02296571324548001,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,top500,moe,5.589816339160072,5.408421633777384,5.4020102883492305,5.412125629552799,0.010115341203568384,0.0037039957754148034,False,-0.019766317641433516,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,top1000,moe,5.8631571145811,5.7056722677428215,5.693387098104993,5.698558192010981,0.005171093905987689,-0.007114075731840863,False,-0.01699149805839821,results/zipf_angle4_hierk/hierk_head_window_table.csv
pride_and_prejudice,Pride and Prejudice,full,zm,6.413204348135392,6.332858287664597,6.338649310626814,6.335101731630408,-0.003547578996406564,0.0022434439658107763,False,-0.0012350206619545778,results/zipf_angle4_hierk/hierk_head_window_table.csv
canterbury_tales,Canterbury Tales,top50,zm,4.4333046681504396,4.354996812738518,4.410433812060124,4.364917089091136,-0.0455167229689879,0.009920276352618274,False,-0.04393159699610079,results/zipf_angle4_hierk/hierk_head_window_table.csv
canterbury_tales,Canterbury Tales,top100,zm,4.794138776626341,4.677062784269737,4.718763879693407,4.691493156094348,-0.027270723599059465,0.014430371824610155,False,-0.03342922607785027,results/zipf_angle4_hierk/hierk_head_window_table.csv
