slug,corpus,group,language,language_family,V,token_count,single_ZM_a,single_ZM_b,single_ZM_c,fitted_λ,lambda_minus_0p5,R²,RMSE_after_shift,f_at_1,fprime_at_1,fsecond_min_on_0p05_1,bregman_conditions_satisfied,head_points,source
moby_dick,Moby Dick,english_low_c,English,Germanic/Romance/Other English corpus,16956,219054,11.279174906124378,1.1821698837630732,10.497932011426359,-0.13867918578879906,-0.638679185788799,0.5792007296463073,0.08283234887372362,0.0,0.638679185788799,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
grimm_s_fairy_tales,Grimm's Fairy Tales,english_low_c,English,Germanic/Romance/Other English corpus,4746,102114,13.151959035818965,1.5802738767595035,45.98251274197185,-0.12400911071144934,-0.6240091107114494,0.41229426927539015,0.19573126580117606,0.0,0.6240091107114494,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
don_quixote,Don Quixote,english_low_c,English,Germanic/Romance/Other English corpus,15574,433304,14.117799338841305,1.484156070744385,65.66394188576379,0.06077070594908733,-0.43922929405091266,0.3190971679496257,0.36453517870364166,0.0,0.43922929405091266,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
pride_and_prejudice,Pride and Prejudice,english_low_c,English,Germanic/Romance/Other English corpus,6729,128565,12.590385498967532,1.4555085387933726,34.11942084275591,-0.1946756619545125,-0.6946756619545125,0.3914534783496566,0.18619796755685133,0.0,0.6946756619545125,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
canterbury_tales,Canterbury Tales,english_low_c,English,Germanic/Romance/Other English corpus,17653,281189,12.00772225086226,1.25647999068569,15.250535352832612,-0.2427453477027415,-0.7427453477027415,0.5349879333560421,0.11716856808295108,0.0,0.7427453477027415,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
arabian_nights_vol_1,Arabian Nights (Vol 1),english_low_c,English,Germanic/Romance/Other English corpus,13883,176048,11.010429917704688,1.1880559525379182,6.42540318643635,-0.23212845830965084,-0.7321284583096508,0.4692781158548702,0.07868333885078448,0.0,0.7321284583096508,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
aesop_s_fables,Aesop's Fables,english_low_c,English,Germanic/Romance/Other English corpus,4394,41594,9.349270525235887,1.146509454622223,3.68769267556447,-0.07634605833399088,-0.5763460583339909,-0.539780246990601,0.09166328351865041,0.0,0.5763460583339909,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
complete_sherlock_holmes,Complete Sherlock Holmes,english_low_c,English,Germanic/Romance/Other English corpus,7817,105863,10.96850884444159,1.2532741382865697,10.294479612917323,-0.19653052015041741,-0.6965305201504174,0.6337643978126444,0.06921286479837478,0.0,0.6965305201504174,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
jane_eyre,Jane Eyre,english_low_c,English,Germanic/Romance/Other English corpus,12541,189604,11.642087161791101,1.257544471493159,16.307585257849095,-0.2142422716940855,-0.7142422716940855,0.4725971233740911,0.14048425864242753,0.0,0.7142422716940855,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
dubliners,Dubliners,english_low_c,English,Germanic/Romance/Other English corpus,7157,69264,9.777159465137078,1.137171446596449,3.263282326595508,-0.09579662649715177,-0.5957966264971518,-1.1956034338841404,0.10709342402704115,0.0,0.5957966264971518,1.8612404630977943,False,200,experiments/1a_per_corpus_enriched_search/outputs/table1_per_corpus.csv
