slug,corpus,zipf_source,zipf_matches_source,zm_source,zm_matches_source,moe_source,moe_matches_source,softk_canonical_source,softk_matches_legacy_softk,softk_matches_softkw_repeated,softk_matches_softk_splitfit,softk_splitfit_delta,provenance_note
federalist_papers,Federalist Papers,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
grimms_fairy_tales,Grimm's Fairy Tales,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
jane_eyre,Jane Eyre,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,False,0.0006446599490059768,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
king_james_bible,King James Bible,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,False,-0.0004095267941535141,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
les_miserables,Les Miserables,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
moby_dick,Moby Dick,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
origin_of_species,Origin of Species,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
pride_and_prejudice,Pride and Prejudice,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
principia_ethica,Principia Ethica,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
the_iliad,The Iliad,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
ulysses,Ulysses,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
war_and_peace,War and Peace,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
wealth_of_nations,Wealth of Nations,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_seam_mandelbrot_pmf/seam_mandelbrot_table.csv,True,zipf_v4_verification/table_a_fourway_pmf.csv,True,True,True,0.0,Canonical-by-documentation Table 4 row; soft-k local-optimum sensitivity documented in softk_source_diagnostic.csv.
