corpus,V,s,s_over_V,rmse,bic,k,w_gate
Dubliners,7157,189.3228383366505,0.026452820781982744,0.1486772766182933,-27202.275752195394,999.9999953896677,1.5474415936220578
Jane Eyre,12541,1003.28,0.08,0.14794989922997853,-47843.80099377911,999.969168834422,1.595926491695857
Complete Sherlock Holmes,7817,625.36,0.08,0.15053967229700527,-29522.75003729601,999.9999999993435,5.83124762910017
Dubliners,7157,14.314,0.002,0.1578215292253663,-26347.918832105264,240.787803937489,6.245953569700837
Dubliners,7157,572.5600000000001,0.08,0.14829997532167224,-27238.646845471445,999.9994213866339,1.342264347871925
The Iliad,12300,24.6,0.002,0.1870972580421543,-41147.96065000677,999.9999999999999,9.999999999999998
Dubliners,7157,395.9268959472903,0.05532023137449913,0.1476470698432866,-27301.804794385334,999.9896531671035,1.4120403484664787
Dubliners,7157,273.7845936398918,0.03825409999160148,0.14809557965273576,-27258.38884240651,999.9999754509663,1.4918258447491513
The Iliad,12300,74.39660277517261,0.00604850429066444,0.1728040460596333,-43102.930210585764,999.9999999999999,9.999999999999998
The Iliad,12300,51.44546598749064,0.004182558210365093,0.1828297538176476,-41715.56051647292,999.9999999999999,9.999999999999998
The Iliad,12300,35.57468851996137,0.0028922510991838514,0.1867943838617584,-41187.81554716095,999.9999999999999,9.999999999999998
Complete Works of Shakespeare,24458,646.9830906857339,0.026452820781982744,0.1554367694942875,-90966.98681876238,999.9783289740598,2.1192756218419064
The Iliad,12300,146.4618952784701,0.01190747116085123,0.10842124333359504,-54569.83225075218,88.40611961512924,4.16651960931567
The Iliad,12300,107.58682807601853,0.008746896591546222,0.14362563602284167,-47652.65362498034,999.9997876449387,6.11386519221074
The Iliad,12300,155.5840608802843,0.012649110640673521,0.11376721252915561,-53385.826285188385,36.72454897394329,6.309686049155389
Democracy in America,9301,18.602,0.002,0.19391276270426783,-30431.492098740437,999.9999999999999,9.999999999999998
Democracy in America,9301,26.900827473508997,0.002892251099183851,0.19524660861409326,-30303.974682448592,999.9999999999999,9.999999999999998
The Iliad,12300,984.0,0.08,0.1549273720244719,-45789.29525982008,999.999999999688,9.9999999927792
Democracy in America,9301,56.25713840746996,0.00604850429066444,0.18398039943313313,-31409.56952203243,999.9999999999999,9.999999999999998
Democracy in America,9301,81.35488519797141,0.008746896591546222,0.16065773662844296,-33931.126138359374,999.9999999999999,9.999999999999998
Democracy in America,9301,116.08829555683555,0.012481270353385178,0.11239680485858233,-40576.51823793552,202.43594772271297,3.1985307349023606
Democracy in America,9301,38.901973914605726,0.004182558210365093,0.19294866197838278,-30524.208703117227,999.9999999999999,9.999999999999998
Democracy in America,9301,117.64937806890443,0.012649110640673521,0.1125849288183114,-40545.40919937238,164.31236060856583,3.393240611361937
Democracy in America,9301,355.8013840218854,0.03825409999160148,0.14792262404112358,-35467.40795293407,999.9945734289118,1.4398475064097396
Democracy in America,9301,246.0376860932215,0.026452820781982744,0.14878721164388234,-35358.99830706209,999.9446254379548,1.428683863885345
Democracy in America,9301,514.5334720142164,0.05532023137449913,0.146716315325888,-35619.72916446023,999.9990095467482,1.4284061150510319
Origin of Species,6887,13.774000000000001,0.002,0.17497588301884195,-23930.021034121335,999.9999999999999,9.999999999999998
Origin of Species,6887,19.918933320079184,0.0028922510991838514,0.17442654922577988,-23973.33229472966,999.9999999999999,9.999999999999998
Jane Eyre,12541,109.69483015458117,0.008746896591546222,0.14483129579718312,-48378.15067936213,999.9999999999999,8.47063643078737
Democracy in America,9301,744.08,0.08,0.1453200139100106,-35797.61249106218,999.9890951839033,1.3772863471309476
Origin of Species,6887,41.656049049806,0.00604850429066444,0.16294853672689014,-24910.918920187276,999.9999999999999,9.999999999999998
Origin of Species,6887,28.805278394784395,0.004182558210365093,0.17083354361862738,-24260.02541069375,999.9999999999999,9.999999999999998
Origin of Species,6887,60.23987682597883,0.008746896591546222,0.14410434393035834,-26603.69913420339,999.999999999992,9.999999999998126
Origin of Species,6887,87.11442498231854,0.012649110640673521,0.1101361590431225,-30306.42909212859,230.56653681993004,3.363657464549011
Origin of Species,6887,89.72849211992552,0.013028676073751346,0.10935616526189179,-30404.32481218633,132.3215114958512,3.8876954309053176
Origin of Species,6887,182.18057672551515,0.026452820781982744,0.13873388523647137,-27126.836265194866,999.9999996810835,1.341887473608754
Origin of Species,6887,263.4559866421594,0.03825409999160148,0.1377227524723823,-27227.592788250495,999.9997830117256,1.2511415836370272
Origin of Species,6887,380.9904334761755,0.05532023137449913,0.13661846606492462,-27338.480413574474,999.9999536938045,1.2250140695822807
Wealth of Nations,9478,18.956,0.002,0.2025258313116961,-30188.195309900177,999.9999999996405,9.999999999999995
Origin of Species,6887,550.96,0.08,0.13540507089596954,-27461.362544249314,999.999999356711,1.2053297179321527
Wealth of Nations,9478,27.41275591806454,0.002892251099183851,0.201786607104696,-30257.511751101003,999.9999999999999,9.999999999999998
Wealth of Nations,9478,39.64228671784035,0.004182558210365093,0.1968845992682338,-30723.696127689036,999.9999999999999,9.999999999999998
Wealth of Nations,9478,57.327723666917564,0.00604850429066444,0.1853828698817889,-31864.743319447327,999.9999999999999,9.999999999999998
Wealth of Nations,9478,119.88827065230363,0.012649110640673521,0.1111776675582535,-41556.82713390387,329.01518374488177,2.810003763410497
Wealth of Nations,9478,124.38464467272836,0.013123511782309385,0.10973353563688165,-41804.66748122041,176.1768434293838,3.4700547111811577
Wealth of Nations,9478,173.373491286688,0.018292202077093058,0.14406475303054692,-36644.6955031459,427.7671906852366,2.1111218893754127
Wealth of Nations,9478,250.71983537163246,0.026452820781982744,0.14231121802544947,-36876.84085298973,999.9863365782358,1.9338900892937896
Origin of Species,6887,125.97839570493989,0.018292202077093058,0.13957578842142598,-27043.50168547953,999.9999985720319,1.3994192112717667
Wealth of Nations,9478,362.5723597203988,0.03825409999160148,0.14058356625989668,-37108.37410023608,999.9871697340214,1.8409911653426152
Canterbury Tales,17653,1412.24,0.08,0.1544733839137609,-65854.18993868145,999.5160999784704,2.2481825246601512
Democracy in America,9301,170.13577151904252,0.018292202077093058,0.1494595556183029,-35275.128403534516,999.8742850025844,1.4225685610950154
Wealth of Nations,9478,524.3251529675027,0.05532023137449913,0.13888974244705363,-37338.15287585872,999.9999851497607,1.6520916448571714
Wealth of Nations,9478,758.24,0.08,0.1375960453899474,-37515.54716854637,999.9782711299436,1.5760408884914605
Jane Eyre,12541,75.85429230922274,0.00604850429066444,0.16037892571202444,-45820.54633361639,999.9999999999995,9.999999999999998
Les Miserables,22677,45.354,0.002,0.24141366841907158,-64368.808958829424,999.9999999999999,9.999999999999998
Les Miserables,22677,65.5875781761922,0.0028922510991838514,0.24201631538664803,-64255.731716450835,999.9999999999997,9.999999999999998
The Iliad,12300,470.5254298966982,0.03825409999160148,0.15542395346154603,-45710.57213042498,999.8455498950487,1.6555963925865294
Les Miserables,22677,277.122704944508,0.01222043061006782,0.11239633036253133,-99041.06388762713,462.14513669968727,2.6937200784797124
Les Miserables,22677,286.84388199855346,0.012649110640673523,0.11379916549611692,-98478.49742134307,309.05336892510445,3.13163654837969
The Iliad,12300,325.36969561838777,0.026452820781982744,0.15660317236966112,-45524.63366004675,999.9577787952959,1.6814615864878457
Wealth of Nations,9478,82.9030858946751,0.008746896591546222,0.16491099275646218,-34082.92445041678,999.9999999999999,9.999999999999998
The Iliad,12300,224.9940855482446,0.018292202077093058,0.15741719530884044,-45397.094103891504,999.8765471791028,1.694214791865878
Decline and Fall Vol 1,15983,31.966,0.002,0.23399361474788685,-46342.269226991084,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,46.22684931825549,0.002892251099183851,0.2338382182517322,-46363.505082392025,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,66.84982787626528,0.004182558210365093,0.22821643827787502,-47141.39871210049,999.9999999999999,9.999999999999998
Decline and Fall Vol 1,15983,96.67324407768974,0.00604850429066444,0.2138732757904313,-49216.33731097134,999.9999999999999,9.999999999999998
Les Miserables,22677,414.81226650223925,0.018292202077093058,0.157035275455277,-83872.90951598575,999.9597956390545,1.5400036670220374
