corpus,files,tokens,V,tok_per_V,zm_b,zm_c,zm_rmse,lam,lzm_rmse,k,s,s_over_V,erf_rmse
python_sitepackages,13004,22355917,513736,43.5,1.2738,37.86,0.1532,54.51,0.1482,6835.7,6779.5,0.0132,0.122
js_projects,485,430553,18178,23.7,1.4651,175.28,0.1901,27.84,0.1388,3918.1,9176.7,0.50482,0.122
