slug,corpus,mode,step,rank,expression,math,rmse,uses_new_operator,canonical_source
shakespeare,Complete Works of Shakespeare,zm_residual,2,1,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,2,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.18461777340942814,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,3,"sub[sin[x],erf[x]]",(sin(x)-erf(x)),0.18496497888315724,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,4,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.1851670469247463,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,5,"add[neg[x],pow[x,x]]","((-x)+pow(x,x))",0.18618029461475435,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,6,"sub[pow[x,x],sqrt[x]]","(pow(x,x)-sqrt(x))",0.1863648247937214,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,7,"mul[sub[1,x],sub[1,x]]",((1-x)*(1-x)),0.18705984191927655,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,8,"mul[sub[x,1],log[x]]",((x-1)*log(x)),0.18750264146230872,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,9,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.18906525781893654,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,2,10,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.18918977817012575,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,1,"mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]]",((log(x)*log(x))*(J0(x)-sqrt(x))),0.1797294377938702,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,2,"mul[mul[log[x],log[x]],sub[pow[x,x],sinh[x]]]","((log(x)*log(x))*(pow(x,x)-sinh(x)))",0.17994168116077444,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,3,"mul[sub[sub[x,1],log[x]],cos[add[x,x]]]",(((x-1)-log(x))*cos((x+x))),0.1799916855845939,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,4,"mul[sub[sub[x,1],log[x]],sub[sub[x,1],log[x]]]",(((x-1)-log(x))*((x-1)-log(x))),0.18018383137523214,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,5,"mul[add[neg[x],pow[x,x]],mul[log[x],log[x]]]","(((-x)+pow(x,x))*(log(x)*log(x)))",0.18019373983228065,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,6,"mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]]","((log(x)*log(x))*(pow(x,x)-erf(x)))",0.1802894515635972,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,7,"mul[sub[pow[x,x],sqrt[x]],mul[log[x],log[x]]]","((pow(x,x)-sqrt(x))*(log(x)*log(x)))",0.18035789540767722,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,8,"mul[sub[sub[x,1],log[x]],sub[cos[x],tanh[x]]]",(((x-1)-log(x))*(cos(x)-tanh(x))),0.18038097540956127,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,9,"mul[sub[sub[x,1],log[x]],add[besselj[x],neg[x]]]",(((x-1)-log(x))*(J0(x)+(-x))),0.1804379012999968,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,3,10,"mul[sub[1,sqrt[x]],mul[log[x],log[x]]]",((1-sqrt(x))*(log(x)*log(x))),0.18047767422712727,False,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,1,"sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[sub[cosh[x],tan[x]],cos[add[x,x]]]]",((cos((x+x))*(log(x)*log(x)))-((cosh(x)-tan(x))*cos((x+x)))),0.17612687027631097,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,2,"add[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[add[mul[x,x],neg[x]],sub[cos[x],tanh[x]]]]",(((log(x)*log(x))*(J0(x)-sqrt(x)))+(((x*x)+(-x))*(cos(x)-tanh(x)))),0.17760380749874852,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,3,"sub[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[cos[add[x,x]],sub[erf[x],mul[x,x]]]]",(((log(x)*log(x))*(J0(x)-sqrt(x)))-(cos((x+x))*(erf(x)-(x*x)))),0.17784356814184754,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,4,"sub[mul[cos[add[x,x]],mul[log[x],log[x]]],mul[div[cos[x],eml[x,x]],sub[gamma[x],1]]]","((cos((x+x))*(log(x)*log(x)))-((cos(x)/EML(x,x))*(gamma(x)-1)))",0.17819190706260252,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,5,"add[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[sub[sqrt[x],sinh[x]],add[mul[x,x],neg[x]]]]",(((log(x)*log(x))*(J0(x)-sqrt(x)))+((sqrt(x)-sinh(x))*((x*x)+(-x)))),0.17832310579635413,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,6,"add[mul[add[mul[x,x],neg[x]],sub[cos[x],tanh[x]]],mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]]]","((((x*x)+(-x))*(cos(x)-tanh(x)))+((log(x)*log(x))*(pow(x,x)-erf(x))))",0.17833293827280366,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,7,"sub[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[sub[sqrt[x],sinh[x]],sub[besselj[x],tanh[x]]]]",(((log(x)*log(x))*(J0(x)-sqrt(x)))-((sqrt(x)-sinh(x))*(J0(x)-tanh(x)))),0.17833438698934193,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,8,"sub[mul[mul[log[x],log[x]],sub[besselj[x],sqrt[x]]],mul[sub[sqrt[x],sinh[x]],sub[1,pow[x,x]]]]","(((log(x)*log(x))*(J0(x)-sqrt(x)))-((sqrt(x)-sinh(x))*(1-pow(x,x))))",0.17834555603800192,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,9,"erf[mul[sub[gamma[x],mul[x,x]],sub[pow[x,x],sqrt[x]]]]","erf(((gamma(x)-(x*x))*(pow(x,x)-sqrt(x))))",0.17835052075684327,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,4,10,"sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[cos[add[x,x]],sub[erf[x],mul[x,x]]]]","(((log(x)*log(x))*(pow(x,x)-erf(x)))-(cos((x+x))*(erf(x)-(x*x))))",0.1786096271225057,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,zm_residual,5,1,"div[sub[mul[mul[log[x],log[x]],sub[pow[x,x],erf[x]]],mul[add[neg[x],pow[x,x]],add[besselj[x],neg[x]]]],sub[mul[sub[sub[x,1],log[x]],eml[neg[x],cosh[x]]],mul[div[cos[x],eml[x,x]],add[erf[x],neg[x]]]]]","((((log(x)*log(x))*(pow(x,x)-erf(x)))-(((-x)+pow(x,x))*(J0(x)+(-x))))/((((x-1)-log(x))*EML((-x),cosh(x)))-((cos(x)/EML(x,x))*(erf(x)+(-x)))))",0.16507994745506074,True,results/zipf_widened_grammar_diagnostic/summary.json
