slug,corpus,mode,zm_c,original_step2_expression,original_step2_math,original_step2_rmse,widened_step2_expression,widened_step2_math,widened_step2_rmse,widened_step2_matches_original,widened_step2_is_bregman,any_winner_uses_new_operator,any_top10_uses_new_operator,canonical_source
shakespeare,Complete Works of Shakespeare,zm_residual,244.84484777363113,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,True,True,True,True,results/zipf_widened_grammar_diagnostic/summary.json
shakespeare,Complete Works of Shakespeare,post_is_residual,244.84484777363113,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18285154352815539,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.181552966340921,False,False,True,True,results/zipf_widened_grammar_diagnostic/summary.json
war_and_peace,War and Peace,zm_residual,209.1315494553841,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18043682215068654,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18043682215068654,True,True,True,True,results/zipf_widened_grammar_diagnostic/summary.json
war_and_peace,War and Peace,post_is_residual,209.1315494553841,"sub[sub[x,1],log[x]]",((x-1)-log(x)),0.18043682215068654,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.1788522257528948,False,False,True,True,results/zipf_widened_grammar_diagnostic/summary.json
pride_and_prejudice,Pride and Prejudice,zm_residual,34.11942084275591,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.16783926418160022,"sub[erf[x],sin[x]]",(erf(x)-sin(x)),0.16675903402110864,False,False,True,True,results/zipf_widened_grammar_diagnostic/summary.json
pride_and_prejudice,Pride and Prejudice,post_is_residual,34.11942084275591,"eml[sub[x,1],eml[x,1]]","EML((x-1),EML(x,1))",0.16783926418160022,"mul[sub[x,1],sub[1,x]]",((x-1)*(1-x)),0.1642374003878102,False,False,True,True,results/zipf_widened_grammar_diagnostic/summary.json
