slug,corpus,original_rmse,relaxed_rmse,rmse_delta_vs_original,original_transition_fraction,relaxed_transition_fraction,transition_fraction_delta,original_k,relaxed_k,original_w,relaxed_w,best_start_index,best_nfev,tried_count,relaxed_a1,relaxed_b1,relaxed_c1,relaxed_a2,relaxed_b2,relaxed_c2
shakespeare,Complete Works of Shakespeare,0.1132760654055252,0.10223221738842841,-0.011043848017096791,0.5444976565358106,0.4693553896662556,-0.075142266869555,245.1799307720734,114.74374509685046,1.2704441434786304,2.608503334119423,34,89,100,28.615670331885564,3.758719321246392,113.23576270293482,34.26521972422213,3.2932867645840025,4999.999999160046
war_and_peace,War and Peace,0.11975383361263765,0.10524649015481975,-0.0145073434578179,0.5243926046259855,0.47693180739418395,-0.04746079723180152,167.61037197710394,105.4357286921693,1.3908761280150792,2.1178761880306527,89,62,100,31.37488284910278,4.138228321352084,172.0179776872305,34.92935631514232,3.4739991407093975,4999.999965833121
moby_dick,Moby Dick,0.1187246779643674,0.10986736082473622,-0.008857317139631185,0.5287551939013028,0.4775853264785518,-0.05116986742275098,172.29660444070635,104.67977983334863,1.1526116535200732,1.831436049891321,71,90,100,35.58633103357549,4.89159500051847,230.69312908024338,28.410630097787823,2.846160110160689,4999.999999394397
king_james_bible,King James Bible,0.11583651766338211,0.09936555806608445,-0.016470959597297663,0.5229748725939123,0.4599716874532228,-0.06300318514068948,139.18042245735833,76.79618425006542,1.206307790343867,2.098809339009326,85,112,100,37.646461590042655,4.999999994766498,208.42119369832812,42.17915660858697,4.308685642196505,4999.999998586805
federalist_papers,Federalist Papers,0.11684528347840346,0.10333247939435906,-0.0135128040840444,0.47939623227755135,0.7540509928819684,0.27465476060441707,77.01846941025158,927.8102567179366,1.4614791876149513,0.10000000000041408,47,34,100,10.072691727418196,1.0162980515237292,0.17574512739969644,36.8117522339788,3.973022088534457,4999.999999978927
grimms_fairy_tales,Grimm's Fairy Tales,0.10823077911929448,0.10500427925991904,-0.0032264998593754396,0.672150694255268,0.37098850378919346,-0.3011621904660745,295.83274181692707,23.11401152204001,0.1850631979113796,2.4745992711159284,55,117,100,34.121965773253976,4.999999832047272,128.6354371149424,45.39917781547651,4.999999996598853,3841.3469548503704
don_quixote,Don Quixote,0.1154443752679549,0.10553738192225481,-0.009906993345700082,0.5283123761273466,0.4648899066019646,-0.063422469525382,164.02003328006995,88.92103798771522,1.2036752381655762,2.1348029947014084,69,86,100,32.232165331279624,4.340906022578888,158.8211959621472,33.74854064253679,3.3884895950529383,4999.99999906128
pride_and_prejudice,Pride and Prejudice,0.10951174030389708,0.10472263344377304,-0.004789106860124043,0.4834333028261786,0.3911318008810481,-0.09230150194513048,70.88572196207117,31.42195366110711,1.1423785184733684,2.4935633403513733,69,138,100,33.624460900643875,4.9999999999351985,117.08337367971747,46.00158020920639,4.879657200949398,4999.999999994953
canterbury_tales,Canterbury Tales,0.11193273998972732,0.10643912243539567,-0.005493617554331642,0.5010318155557384,0.7582304461759403,0.2571986306202019,134.2119523589147,1659.8433474415797,1.4897003175201895,0.10000000000124586,32,47,100,10.896336415979809,1.0919615718274749,2.3009174633269667,22.94617129920327,2.3870216946086145,4999.9999999944475
arabian_nights_vol1,Arabian Nights (Vol 1),0.10636512363789612,0.10285434079118627,-0.003510782846709845,0.47146021798641025,0.4454162517056341,-0.026043966280776154,89.74620451986972,70.00505397317148,1.5827304063287007,1.938103429660142,53,121,100,33.506314075697276,4.392778082414754,251.59624373991278,30.00196618959396,3.105825057066894,4999.999999742198
