corpus,joint_sd_t,joint_mu_t,joint_pi_h,n_near_solutions,sd_t_spread_near,best_nll
EN Shakespeare@65k,3.0556906614967736,-4.971897858730679,0.0012065914174263946,2,0.0441284054159623,20866.20360962398
EN Moby@65k,3.840088113935091,-8.402393585845743,0.021314574479527754,2,1.9139898662284662,24040.7003785799
EN P&P@65k,2.5707301905313114,-2.432443602779398,0.0018153780848508372,2,0.050653685100342294,19164.81297985632
EN Ulysses@65k,2.768699084660187,-5.278926446135693,0.0041764335883732445,6,1.580439149933643,25787.587984103233
RU WarPeace@65k,1.9553218785021582,-3.7456477550580325,0.06950393455149112,4,1.4589013982579067,32174.93373135896
ZH ThreeKingdoms@65k,3.311018914037912,-9.85660350100229,0.0010000000000001358,3,1.186160385410569,35534.7834085824
FI Seitseman@65k,2.5332573871534327,-5.0733960459553655,0.001,3,0.16415050823327748,35244.04788027584
IT Promessi@65k,2.045648456354738,-3.951000828226574,0.05457964414499808,4,1.1419152621590576,26856.909489370817
