slug,corpus,token_count,vocabulary_size,cutoff,cutoff_rank,zipf_avg_nll,zm_avg_nll,moe_avg_nll,softk_avg_nll,winner_family,softk_minus_moe,softk_minus_zm,softk_minus_zipf,step2_winner_expression,step2_gain,step2_helps,canonical_source
king_james_bible,King James Bible,792180,12555,top200,200,4.865269651820569,4.762391958974505,4.750408508734183,4.759063181811828,moe,0.008654673077645114,-0.003328777162677099,-0.10620647000874062,"eml[sub[x,1],eml[x,1]]",-0.00827718666235891,False,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top500,500,5.269100507205842,5.170225010729366,5.143056856768994,5.130377318161099,softk,-0.012679538607894614,-0.0398476925682667,-0.13872318904474223,"sub[pow[x,x],sqrt[x]]",0.008521043127659209,True,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,top1000,1000,5.534342256285429,5.446932553532536,5.415677384335553,5.398846028430836,softk,-0.01683135590471707,-0.04808652510169953,-0.1354962278545928,"sub[pow[x,x],sqrt[x]]",0.010384788481152568,True,results/zipf_angle1_head_windows_splitfit/summary.json
king_james_bible,King James Bible,792180,12555,full,12555,6.080495234984778,6.0351662551816245,6.017965050637185,6.016425262838996,softk,-0.0015397877981895292,-0.018740992342628715,-0.06406997214578247,"eml[neg[x],add[x,x]]",0.0894896871269378,True,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,top50,50,3.9622843267298613,3.9393664224900085,3.960439514532199,3.972459442318296,zm,0.01201992778609684,0.033093019828287495,0.010175115588434647,"div[sub[x,1],eml[1,x]]",-0.026602790576721366,False,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,top100,100,4.318394900171573,4.2841362697511745,4.2920872626111235,4.318818195630321,zm,0.0267309330191976,0.03468192587914665,0.0004232954587477522,"mul[sub[1,x],mul[x,x]]",0.002991909032486792,True,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,top200,200,4.654103345743183,4.615970125093551,4.612844204105377,4.642013056265928,moe,0.029168852160551317,0.026042931172376882,-0.012090289477254323,"sub[sqrt[x],pow[x,x]]",-0.003253551596295756,False,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,top500,500,5.10360766334545,5.067653945040607,5.0544040279667115,5.068331508583362,moe,0.013927480616650278,0.0006775635427551663,-0.03527615476208812,"eml[sub[x,1],eml[x,1]]",-0.00746680449407696,False,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,top1000,1000,5.430590360802245,5.400013297415596,5.383913651419427,5.380007979204175,softk,-0.003905672215251954,-0.02000531821142104,-0.050582381598070825,"sub[pow[x,x],sqrt[x]]",-0.0005850963132490311,False,results/zipf_angle1_head_windows_splitfit/summary.json
federalist_papers,Federalist Papers,192302,8617,full,8617,6.207760950769132,6.199416070500408,6.196934223897512,6.199844992900314,moe,0.0029107690028018496,0.0004289223999052183,-0.007915957868818602,"eml[sub[x,1],eml[x,1]]",-0.0018337847342417835,False,results/zipf_angle1_head_windows_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,top50,50,4.281724170552089,4.213477235752963,4.238581501119786,4.264607438198147,zm,0.026025937078361316,0.05113020244518385,-0.01711673235394251,"mul[sub[1,x],mul[x,x]]",0.00230656260209626,True,results/zipf_angle1_head_windows_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,top100,100,4.64526343641277,4.5415687791666945,4.548900496877882,4.557413079365721,zm,0.008512582487838927,0.01584430019902605,-0.08785035704704924,"eml[sub[x,1],eml[x,1]]",-0.013546730268754192,False,results/zipf_angle1_head_windows_splitfit/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,top200,200,5.026566569042341,4.912429719274276,4.900171433955745,4.891388818467554,softk,-0.008782615488191148,-0.02104090080672183,-0.13517775057478687,"sub[pow[x,x],sqrt[x]]",-0.006478556442755565,False,results/zipf_angle1_head_windows_splitfit/summary.json
