source_corpus,target_corpus,source_poly5_coefficients_json,target_zm_rmse,target_step2_rmse,target_in_domain_poly5_rmse,target_step10_rmse,zero_shot_rmse,zero_shot_minus_in_domain_poly5,zero_shot_minus_step10,canonical_source
Shakespeare,War and Peace,"[286.43807099534587, -912.078297072259, 1080.512379675886, -574.1448168670508, 126.39631673448858, -7.097188429178873]",0.182982301215073,0.18043682215068654,0.14581271318709715,0.14534740465186036,0.15127747094311222,0.005464757756015071,0.005930066291251868,results/zipf_head_poly_transfer/summary.json
War and Peace,Shakespeare,"[173.53691338493817, -570.2604457751933, 691.9350738006982, -371.2973430233345, 79.65124963661947, -3.6232873667736625]",0.18443042500644333,0.18285154352815539,0.1505496191235793,0.1598718529967204,0.15565236538090854,0.005102746257329233,-0.004219487615811868,results/zipf_head_poly_transfer/summary.json
