name,token_count,vocab_size,softk_lambda,softk_test_avg_nll,zm_test_avg_nll,moe_test_avg_nll,softk_minus_zm,softk_minus_moe,step2_gain,step2_help,step2_expr
Nahum,1286,468,0.01,5.145853943077879,5.1249410218323534,5.125767646981652,0.02091292124552524,0.020086296096226697,-0.009174541930514674,0,"eml[sub[x,1],eml[x,1]]"
Habakkuk,1479,505,0.01,5.4071240866491355,5.376841064987053,5.383448687381059,0.030283021662082632,0.02367539926807627,0.005711855997552695,1,"sub[pow[x,x],sqrt[x]]"
Zephaniah,1622,466,0.001,5.218386011267635,5.214294158885303,5.2238874698098225,0.004091852382331673,-0.005501458542187976,-0.007624812668968445,0,"eml[sub[x,1],eml[x,1]]"
Haggai,1135,288,0.001,4.874370729250888,4.861697517802851,4.865957009628944,0.012673211448037236,0.00841371962194426,-0.010643192020634962,0,"eml[sub[x,1],eml[x,1]]"
Zechariah,6448,942,0.03,5.437910995767833,5.418927399585859,5.427094913241396,0.018983596181974427,0.010816082526437398,-0.001898839377859174,0,"sub[pow[x,x],sqrt[x]]"
Malachi,1793,461,0.03,5.168856698620376,5.166763448590742,5.1775838503085545,0.0020932500296337864,-0.008727151688178836,-0.00187901087166098,0,"sub[pow[x,x],sqrt[x]]"
Matthew,23732,2100,0.0001,5.832154414189401,5.835929990368719,5.834171788765158,-0.0037755761793176745,-0.0020173745757565698,-0.002201783316979622,0,"eml[sub[x,1],eml[x,1]]"
Mark,15192,1666,0.0001,5.658340204199183,5.6547947044483085,5.655359320712099,0.00354549975087437,0.0029808834870834744,-0.0036251018570961635,0,"eml[sub[x,1],eml[x,1]]"
Luke,25992,2373,0.003,5.762955929806017,5.767989120862338,5.766030224743869,-0.005033191056321051,-0.003074294937851718,-0.0015528705501435536,0,"eml[sub[x,1],eml[x,1]]"
John,19133,1381,0.0001,5.550449799770124,5.545684271925785,5.545101419000399,0.004765527844339701,0.005348380769725658,-0.0047390676036345725,0,"eml[sub[x,1],eml[x,1]]"
Acts,24287,2270,0.001,5.838240957443483,5.845220310705034,5.841072755449626,-0.006979353261550969,-0.0028317980061434156,-0.0027149942610591726,0,"eml[sub[x,1],eml[x,1]]"
Romans,9448,1318,0.03,5.641308200422953,5.644516850184747,5.649072699321946,-0.0032086497617935805,-0.0077644988989922226,0.0007927412677617984,1,"sub[pow[x,x],sqrt[x]]"
1 Corinthians,9499,1239,0.003,5.536140423121464,5.543528235514763,5.5486761397348605,-0.007387812393298887,-0.012535716613396808,-0.001856043370768029,0,"sub[pow[x,x],sqrt[x]]"
2 Corinthians,6087,1031,0.001,5.639701597901292,5.640218311377557,5.660632178996187,-0.0005167134762649184,-0.02093058109489565,-0.0017119474560791659,0,"sub[pow[x,x],sqrt[x]]"
Galatians,3101,643,0.03,5.354258286032832,5.370999446955853,5.372823662227449,-0.016741160923021248,-0.0185653761946174,0.0007244340353329548,1,"sub[pow[x,x],sqrt[x]]"
Ephesians,3034,663,0.0003,5.325521093037827,5.320315340530376,5.326898107476542,0.005205752507451145,-0.001377014438714852,0.0002600380549939718,1,"sub[pow[x,x],sqrt[x]]"
Philippians,2194,553,0.003,5.4905632416355905,5.473243459339805,5.498163203661604,0.017319782295785124,-0.007599962026013429,-0.007007096329398013,0,"eml[sub[x,1],eml[x,1]]"
Colossians,1990,534,0.0003,5.472684081912568,5.45459279387366,5.471849188651453,0.01809128803890836,0.0008348932611150772,-0.002388479439273894,0,"sub[pow[x,x],sqrt[x]]"
1 Thessalonians,1849,456,0.01,5.435113847157198,5.440947531773495,5.459896727358473,-0.0058336846162969636,-0.024782880201274615,-0.0074255682279007335,0,"eml[sub[x,1],eml[x,1]]"
2 Thessalonians,1033,315,0.003,5.075716382826991,5.08540744256724,5.095644837082638,-0.00969105974024842,-0.0199284542556466,-0.009442406480901958,0,"eml[sub[x,1],eml[x,1]]"
1 Timothy,2256,679,0.01,5.629679917661696,5.628552141810194,5.645096529181855,0.0011277758515024772,-0.015416611520159051,-0.0012070284234465822,0,"sub[pow[x,x],sqrt[x]]"
2 Timothy,1677,550,0.03,5.504297286422386,5.518853160025445,5.541685522101101,-0.014555873603059766,-0.03738823567871563,-0.008146233494685254,0,"eml[sub[x,1],eml[x,1]]"
Titus,906,364,0.01,5.6534494216507145,5.6130253787438305,5.647944361706752,0.04042404290688406,0.0055050599439621095,-0.0033575590895926766,0,"sub[pow[x,x],sqrt[x]]"
Philemon,439,193,0.01,4.902716326973954,4.906954795076935,4.926522114802227,-0.004238468102980342,-0.02380578782827225,-0.014454979368884943,0,"eml[sub[x,1],eml[x,1]]"
Hebrews,6910,1216,0.03,5.782341490855061,5.777726154191565,5.786229656390335,0.00461533666349645,-0.00388816553527338,1.574626409545088e-05,1,"sub[pow[x,x],sqrt[x]]"
James,2310,672,0.03,5.463200130395781,5.472337682021445,5.4822902909732525,-0.009137551625664209,-0.019090160577471593,-0.006963507445316,0,"eml[sub[x,1],eml[x,1]]"
1 Peter,2486,679,0.003,5.50217829988029,5.516625437042123,5.529669611487814,-0.014447137161832657,-0.02749131160752416,-0.005852150331552869,0,"eml[sub[x,1],eml[x,1]]"
2 Peter,1561,514,0.003,5.592783860949584,5.562486114436203,5.5758269512342675,0.030297746513380908,0.016956909715316826,-0.0011476141608452173,0,"sub[pow[x,x],sqrt[x]]"
1 John,2525,361,0.001,4.888071084018764,4.88090605471481,4.887869766744308,0.007165029303953574,0.00020131727445527048,-0.0053159548802255985,0,"sub[pow[x,x],sqrt[x]]"
2 John,305,136,0.0001,4.622679018500105,4.5749165102041305,4.586882912796702,0.047762508295974726,0.03579610570340286,-0.006864474045525898,0,"sub[pow[x,x],sqrt[x]]"
3 John,301,159,0.01,4.727531239138907,4.7344897871137075,4.746124861961625,-0.006958547974800666,-0.018593622822717926,-0.008685763745432618,0,"sub[pow[x,x],sqrt[x]]"
Jude,614,297,0.01,5.406296848450195,5.350276032493109,5.353535780903568,0.05602081595708608,0.05276106754662635,-0.012119242610722225,0,"eml[sub[x,1],eml[x,1]]"
Revelation,12010,1285,0.0001,5.463715583549262,5.474858113404745,5.47064260890742,-0.011142529855483474,-0.006927025358158367,-0.004695736581944443,0,"eml[sub[x,1],eml[x,1]]"
