slug,corpus,softk_fullrefit_train_avg_nll,softk_fullrefit_bic,softk_fullrefit_rmse,softk_fullrefit_step2_gain,softk_fullrefit_step2_helps,softk_fullrefit_k,softk_fullrefit_w,diagnostic_only
aesops_fables,Aesop's Fables,6.11540118974875,508791.8084400495,0.15326986329054923,-0.0015259890005038523,False,24.797191373065843,2.248085460666749,True
arabian_nights_vol1,Arabian Nights (Vol 1),6.642434782610413,2338847.1882897806,0.17940212471366557,0.0011603129084946096,True,137.42140310626843,5.0,True
canterbury_tales,Canterbury Tales,6.775841496972015,3810659.4700780483,0.16091629152868472,-0.0011308453724043765,False,163.96417741496242,5.0,True
collected_poe,Collected Poe,6.623733140067537,1216199.2162534988,0.16435498548960445,-0.0014374047840695625,False,117.38706316281471,5.0,True
complete_sherlock_holmes,Complete Sherlock Holmes,6.388952786095889,1352776.836995444,0.16900790402430288,0.00019275310219099562,True,107.70902123864121,5.0,True
shakespeare,Complete Works of Shakespeare,6.86609945234352,13576695.915792244,0.16342898001006434,-0.0010896150246089142,False,229.81856657739448,4.4532063267896085,True
critique_of_pure_reason,Critique of Pure Reason,5.895424001655612,2473734.480171533,0.16161809532670288,-0.0015729479215106368,False,76.08369076939798,4.616857825119549,True
decline_and_fall_vol1,Decline and Fall Vol 1,6.672563029864111,3505812.798200659,0.18139448443405298,-3.291230885033025e-05,False,172.02980783276993,5.0,True
democracy_in_america,Democracy in America,6.268510729188182,2353936.2471698266,0.16970130074062784,-0.0013453984406848196,False,117.50543900866214,5.0,True
don_quixote,Don Quixote,6.469279083291262,5606406.882981909,0.1522093669436632,-0.0013981574011522058,False,283.77932287016495,5.0,True
dubliners,Dubliners,6.470820050721354,896456.6340697458,0.16962655427719084,0.0011538479227290455,True,102.26692387123892,3.110327560233172,True
emile,Emile,6.447924783026638,3260699.9349737386,0.1595619923471617,-0.0014853490399472646,False,132.33489989890026,5.0,True
federalist_papers,Federalist Papers,6.169806863423168,2373005.399833996,0.15419578594519343,-0.0018337847342417835,False,131.4581597320938,5.0,True
grimms_fairy_tales,Grimm's Fairy Tales,6.044381402499835,1234501.1281404276,0.20679701852777752,-0.0004983982554198074,False,14.961636705263132,4.979802794652174,True
jane_eyre,Jane Eyre,6.636359814212836,2516633.648585815,0.15432130540065886,-0.0016077082842209933,False,97.40044679337103,5.0,True
king_james_bible,King James Bible,6.013540731721065,9527694.888973093,0.3325637813458062,0.0894896871269378,True,35.558224323129835,5.0,True
les_miserables,Les Miserables,6.772007824282341,7796204.602688368,0.15840305568812652,-0.0013088766963406384,False,188.82388899618607,5.0,True
moby_dick,Moby Dick,6.895219378868856,3020924.5540787997,0.1737397332053256,-0.0004310221974201389,False,54.72667178554654,4.29156714771769,True
origin_of_species,Origin of Species,6.354777601036135,1983067.3874388472,0.15481570999906508,-0.0016455215170733117,False,100.44068613299568,5.0,True
pride_and_prejudice,Pride and Prejudice,6.3173505845960545,1624450.9409565353,0.11609842597037336,-0.0026861175930713577,False,36.464277304238074,2.408737477722238,True
principia_ethica,Principia Ethica,5.885056597591158,1161496.687230019,0.16920052930320043,-0.0013513877342089253,False,49.119119410782,1.3307799119474197,True
the_iliad,The Iliad,6.86562213267131,2677240.0467446884,0.16162567652565799,-0.0013858788785054421,False,155.38014674841807,5.0,True
ulysses,Ulysses,7.303944147073625,3927464.2109772265,0.11317809542913854,-0.0014928215431750796,False,3182.7408817494365,0.07724910598442823,True
war_and_peace,War and Peace,6.657874436358204,7768061.447819729,0.16909560824883718,-0.0009358103826155872,False,163.9353298608973,5.0,True
wealth_of_nations,Wealth of Nations,6.148173234761609,4673672.4549586,0.19026217591952593,-0.0007826936887813107,False,30.88836353248198,5.0,True
