test,step,rank,expression,math,rmse,is_predicted_generator,cosine_vs_predicted,cosine_vs_negative_predicted,f_at_1,fprime_at_1,fsecond_min,bregman_conditions_pass
zm_natural_param_c_over_r_plus_c,1,1,"mul[x,x]",(x*x),0.18694436559527583,False,0.093263059885360156,-0.093263059885360156,1,1.9999999999990905,1.9999999908832251,False
zm_natural_param_c_over_r_plus_c,1,2,neg[x],(-x),0.22002264255332674,False,-0.55124155811674824,0.55124155811674824,-1,-0.99999999999909051,-2.3928805603645742e-09,False
zm_natural_param_c_over_r_plus_c,1,3,"div[x,1]",(x/1),0.2201195894227283,False,0.55124155811674824,-0.55124155811674824,1,0.99999999999909051,-7.1795511757954955e-09,False
zm_natural_param_c_over_r_plus_c,1,4,"add[x,x]",(x+x),0.30285990024245296,False,0.55124155811674824,-0.55124155811674824,2,1.999999999998181,-1.4359102351590991e-08,False
zm_natural_param_c_over_r_plus_c,1,5,sqrt[x],sqrt(x),0.34672803555803816,False,0.85587572029278181,-0.85587572029278181,1,0.49999999548435881,-22.265322082997045,False
zm_natural_param_c_over_r_plus_c,1,6,"pow[x,x]","pow(x,x)",0.84949192413503316,False,0.98279891105833705,-0.98279891105833705,1,0.9999999638994268,1.4016428987142717,False
zm_natural_param_c_over_r_plus_c,1,7,"sub[1,x]",(1-x),0.93730564994855436,False,0.9878511624836871,-0.9878511624836871,0,-1,-2.3928805603645742e-09,False
zm_natural_param_c_over_r_plus_c,1,8,"sub[x,1]",(x-1),0.93732841194373628,False,-0.9878511624836871,0.9878511624836871,0,1,-3.5902303352486342e-09,False
zm_natural_param_c_over_r_plus_c,1,9,"add[1,x]",(1+x),1.1037756635559122,False,0.9558509066635883,-0.9558509066635883,2,0.99999999999818101,-1.4358192856889218e-08,False
zm_natural_param_c_over_r_plus_c,1,10,"eml[x,1]","EML(x,1)",1.1143323267427019,False,0.94836295675516147,-0.94836295675516147,2.7182818284590451,2.7182817957400403,1.0514209494676834,False
zm_natural_param_c_over_r_plus_c,1,11,log[x],log(x),2.6911541818245013,False,-0.9985828273491747,0.9985828273491747,0,0.9999999759134055,-397.72679873318702,False
zm_natural_param_c_over_r_plus_c,1,12,"eml[x,x]","EML(x,x)",3.7567096963031368,False,0.99185294072321672,-0.99185294072321672,2.7182818284590451,1.7182818198270979,3.6906034649864523,False
zm_natural_param_c_over_r_plus_c,1,13,"eml[1,x]","EML(1,x)",5.3827750333096196,False,0.99015809479877093,-0.99015809479877093,2.7182818284590451,-0.9999999759165803,1.0002850835517165,False
zm_natural_param_c_over_r_plus_c,1,14,"div[1,x]",(1/x),15.8969198752845,False,0.99588180075390176,-0.99588180075390176,1,-0.9999999277306415,2.0008553455445508,False
zm_natural_param_c_over_r_plus_c,2,1,"pow[mul[x,x],eml[1,x]]","pow((x*x),EML(1,x))",0.17604748003909315,False,0.00092518202063259858,-0.00092518202063259858,1,5.4365632997933062,1.5940252312413249e-10,False
zm_natural_param_c_over_r_plus_c,2,2,"pow[mul[x,x],eml[x,x]]","pow((x*x),EML(x,x))",0.1766293163607551,False,0.0024908028658680911,-0.0024908028658680911,1,5.436561167896798,2.0896944829183334e-06,False
zm_natural_param_c_over_r_plus_c,2,3,"pow[mul[x,x],div[1,x]]","pow((x*x),(1/x))",0.17692095960282306,False,0.0025511853331352313,-0.0025511853331352313,1,2.0000000723239282,-1.9991444184724969,False
zm_natural_param_c_over_r_plus_c,2,4,"mul[mul[x,x],mul[x,x]]",((x*x)*(x*x)),0.17715829198132485,False,0.0052262910680284311,-0.0052262910680284311,1,3.9999997111253833,0.030171214779063593,False
zm_natural_param_c_over_r_plus_c,2,5,"pow[div[x,1],eml[1,x]]","pow((x/1),EML(1,x))",0.17797749048485134,False,0.0048923899822262973,-0.0048923899822262973,1,2.7182819121780994,0.00097616727730123407,False
zm_natural_param_c_over_r_plus_c,2,6,"pow[mul[x,x],eml[x,1]]","pow((x*x),EML(x,1))",0.1795913169743264,False,0.090404935127298663,-0.090404935127298663,1,5.4365605279845113,0.54631884417767651,False
zm_natural_param_c_over_r_plus_c,2,7,"div[mul[x,x],div[1,x]]",((x*x)/(1/x)),0.17963249317647825,False,0.016906126327218534,-0.016906126327218534,1,2.9999999277706593,0.30085517103514547,False
zm_natural_param_c_over_r_plus_c,2,8,"pow[mul[x,x],add[1,x]]","pow((x*x),(1+x))",0.1802671605006223,False,0.082942553966417559,-0.082942553966417559,1,3.9999992059629221,0.73277809995465759,False
zm_natural_param_c_over_r_plus_c,2,9,"mul[mul[x,x],log[x]]",((x*x)*log(x)),0.18199083114852754,False,-0.40242340874389965,0.40242340874389965,0,0.99999997592027168,-2.9857694393990641,False
zm_natural_param_c_over_r_plus_c,2,10,"div[mul[x,x],eml[1,x]]","((x*x)/EML(1,x))",0.18226548947553337,False,0.057960070719642855,-0.057960070719642855,0.36787944117144233,0.87109415740269469,0.45290281401509702,False
