test,step,rank,expression,math,rmse,is_predicted_generator,cosine_vs_predicted,cosine_vs_negative_predicted,f_at_1,fprime_at_1,fsecond_min,bregman_conditions_pass
poisson_sorted_rank,1,1,"eml[1,x]","EML(1,x)",21.555792046141164,False,0.52002356490346446,-0.52002356490346446,2.7182818284590451,-0.9999999759165803,1.0002850835517165,False
poisson_sorted_rank,1,2,"eml[x,x]","EML(x,x)",21.662384532456951,False,0.43511374009368459,-0.43511374009368459,2.7182818284590451,1.7182818198270979,3.6906034649864523,False
poisson_sorted_rank,1,3,"eml[x,1]","EML(x,1)",21.701239297922971,False,0.28501237407929586,-0.28501237407929586,2.7182818284590451,2.7182817957400403,1.0514209494676834,False
poisson_sorted_rank,1,4,"add[1,x]",(1+x),22.175041961467624,False,0.3251972751802224,-0.3251972751802224,2,0.99999999999818101,-1.4358192856889218e-08,False
poisson_sorted_rank,1,5,"add[x,x]",(x+x),22.225252876419347,False,0.21856355232433319,-0.21856355232433319,2,1.999999999998181,-1.4359102351590991e-08,False
poisson_sorted_rank,1,6,sqrt[x],sqrt(x),22.928665071806346,False,0.28632926617389171,-0.28632926617389171,1,0.49999999548435881,-22.265322082997045,False
poisson_sorted_rank,1,7,"pow[x,x]","pow(x,x)",22.951299534838448,False,0.35676437077527484,-0.35676437077527484,1,0.9999999638994268,1.4016428987142717,False
poisson_sorted_rank,1,8,"div[1,x]",(1/x),22.953744895447727,False,0.87197027636418745,-0.87197027636418745,1,-0.9999999277306415,2.0008553455445508,False
poisson_sorted_rank,1,9,"div[x,1]",(x/1),22.955803927290859,False,0.21856355232433319,-0.21856355232433319,1,0.99999999999909051,-7.1795511757954955e-09,False
poisson_sorted_rank,1,10,"mul[x,x]",(x*x),23.006662101585849,False,0.14425673300090652,-0.14425673300090652,1,1.9999999999990905,1.9999999908832251,False
poisson_sorted_rank,1,11,"sub[1,x]",(1-x),23.635215101601741,False,0.84745220656540143,-0.84745220656540143,0,-1,-2.3928805603645742e-09,False
poisson_sorted_rank,1,12,"sub[x,1]",(x-1),23.75300784960918,False,-0.84745220656540143,0.84745220656540143,0,1,-3.5902303352486342e-09,False
poisson_sorted_rank,1,13,log[x],log(x),23.757421499991271,False,-0.97275600945859753,0.97275600945859753,0,0.9999999759134055,-397.72679873318702,False
poisson_sorted_rank,1,14,neg[x],(-x),24.435207602023429,False,-0.21856355232433319,0.21856355232433319,-1,-0.99999999999909051,-2.3928805603645742e-09,False
poisson_sorted_rank,2,1,"pow[eml[x,1],eml[1,x]]","pow(EML(x,1),EML(1,x))",13.741732400826754,False,0.19050739949176218,-0.19050739949176218,15.154262241479259,26.039293265668675,2.9987016294217028,False
poisson_sorted_rank,2,2,"pow[eml[1,x],eml[x,1]]","pow(EML(1,x),EML(x,1))",13.921056054272563,False,0.26763383343389247,-0.26763383343389247,15.154262241479259,26.039291157241678,17.275988638095441,False
poisson_sorted_rank,2,3,"eml[eml[x,1],div[1,x]]","EML(EML(x,1),(1/x))",14.0640074262243,False,0.16458207694123342,-0.16458207694123342,15.154262241479262,42.193547452567145,-391.55434682669147,False
poisson_sorted_rank,2,4,"eml[eml[x,1],pow[x,x]]","EML(EML(x,1),pow(x,x))",14.07288744083294,False,0.2123456552358009,-0.2123456552358009,15.154262241479262,40.193547464616131,-13.770657484399635,False
poisson_sorted_rank,2,5,"eml[eml[x,1],1]","EML(EML(x,1),1)",14.081524829725344,False,0.20397324054821039,-0.20397324054821039,15.154262241479262,41.193547476636013,6.1724518887122031,False
poisson_sorted_rank,2,6,"eml[eml[x,1],sqrt[x]]","EML(EML(x,1),sqrt(x))",14.095994183277694,False,0.22310918726295362,-0.22310918726295362,15.154262241479262,40.693547488714103,17.787880441703237,False
