sorted_position,count,empirical_prob_mixture,fitted_prob_single_poisson,residual_log_q_minus_log_p,sr_x_sorted_rank,count_over_lambda,poisson_deviance_count_lambda
1,12,0.010529705776642431,0.11321453006756795,-2.3750841307032644,0.050000000000000003,0.95999999999999996,0.010136065756938706
2,13,0.014218254876235145,0.10886012506497,-2.0355371082122673,0.18929253253254552,1.04,0.0098692709926577749
3,11,0.0094086397230005656,0.10868594886486535,-2.4468341338866155,0.27077344069456633,0.88,0.093832913391265649
4,14,0.019604188225890988,0.09719654023657967,-1.6009918881555074,0.328585065065091,1.1200000000000001,0.08660159429804537
5,10,0.011974547613083518,0.095643635001081501,-2.077845784018856,0.37342724469532929,0.80000000000000004,0.26856448685790291
6,15,0.025903049483039769,0.080997116863816374,-1.1400528573325648,0.41006597322711175,1.2,0.23482335190931991
7,9,0.019586865337408187,0.076514908000865273,-1.3626263919264083,0.4410435768111105,0.71999999999999997,0.54346339725167425
8,16,0.032305103056461559,0.063278997549856525,-0.67232827471980894,0.46787759759763647,1.28,0.4497612469044121
9,8,0.033293354157393235,0.055090733760622922,-0.50362372848729819,0.49154688138913261,0.64000000000000001,0.92970317897264465
10,17,0.03798432453779655,0.046528674669012358,-0.20289521962900459,0.51271977722787487,1.3600000000000001,0.7272398957153321
11,7,0.052484165271852637,0.035258069606798677,0.39781708215898348,0.53187299128315224,0.56000000000000005,1.4412705332294067
12,18,0.042198783081429429,0.032311579631258566,0.26696571519553824,0.54935850575965728,1.4399999999999999,1.0635760445823657
13,19,0.044418186938197497,0.021257618178459479,0.73693366765423507,0.56544361982389157,1.52,1.4554963623055155
14,6,0.073203010897601811,0.019744518979807259,1.3103606197806799,0.58033610934365598,0.47999999999999998,2.096184949518797
15,20,0.044417790756581262,0.013286011361537229,1.2069283775043225,0.59420068538989568,1.6000000000000001,1.900072584914712
16,5,0.087761166932224743,0.0094773691103074847,2.2257123549948248,0.60717013013018206,0.40000000000000002,2.9185463406292254
17,21,0.042302563534454177,0.0079083400961530905,1.6769297768887124,0.61935305079043379,1.6799999999999999,2.3946696617185186
18,22,0.038456854502014116,0.0044933750546324374,2.1469328486683454,0.63083941392167808,1.76,2.93690379910133
19,4,0.087740555396000328,0.0037909476441229939,3.1417681998713398,0.64170458136223574,0.32000000000000001,3.9422628672465407
20,23,0.033440738384707853,0.0024420516601263167,2.6169363385474997,0.65201230976042035,1.8400000000000001,3.5246081472805688
21,24,0.027867281016314849,0.0012719019063157995,3.0869399329515912,0.6618170175056769,1.9199999999999999,4.1558044649525634
22,3,0.070188322009555396,0.0012131032461193581,4.0580002013744636,0.67116552381569783,0.23999999999999999,5.2186509330795623
23,25,0.02229382461886318,0.00063595095315789856,3.5569435534869029,0.68009840092705665,2,4.8286795139986332
24,26,0.017149095823320273,0.00030574565055668486,4.0269471805550383,0.68865103829220287,2.0800000000000001,5.5415652365438923
25,2,0.042112374859646508,0.00029114477906864571,4.9742762501168984,0.69685448939065864,0.16,6.8348370725033796
26,27,0.012703033936284655,0.00014154891229476102,4.4969508092563766,0.70473615235643705,2.1600000000000001,6.292921985793992
27,28,0.0090735956675397772,6.3191478703017749e-05,4.966954438366014,0.712320322083699,2.2400000000000002,7.0813242442745583
28,1,0.016844888109249934,4.6583164650983316e-05,5.8905633111744375,0.71962864187620157,0.080000000000000002,8.9742713556917444
29,29,0.0062576521842973116,2.7237706337508123e-05,5.4369580675777138,0.72668047580629513,2.3199999999999998,7.9054483846683361
30,30,0.0041717681228294065,1.1349044307294906e-05,5.9069616968149594,0.73349321792244115,2.3999999999999999,8.7640621206169946
31,31,0.0026914633050454783,4.5762275432640794e-06,6.3769653260585573,0.74008255073718077,2.48,9.6560153654836149
