corpus,model,nll,theta
Pride and Prejudice,two,18040.49997987202,-1.1338;-1.9667;0.8733;0.9467;0.9134
Pride and Prejudice,two,18042.142142522167,-4.7836;-1.7603;0.9185;1.9720;0.1123
Ulysses,one,55687.478224927785,-5.5537;1.1466
Federalist Papers,two,24515.597858735808,-2.5011;-1.7718;0.9735;1.2589;-0.1691
Ulysses,one,55687.97832699382,-5.0917;1.1057
Ulysses,one,55688.01588718718,-5.5619;1.1418
Pride and Prejudice,two,18036.601651851077,-11.4477;-2.3524;1.0331;2.1582;-0.2299
Ulysses,one,55687.478224930834,-5.5537;1.1466
Pride and Prejudice,two,18039.666876016676,-2.6457;-3.0997;1.1206;1.2388;0.2630
Ulysses,one,55687.47822492552,-5.5537;1.1466
Pride and Prejudice,two,18042.519296700648,81.4400;-5.2710;1.0463;1.3195;0.9461
Ulysses,one,55688.01588719695,-5.5619;1.1418
Ulysses,two,55685.117326126056,-2.7494;-4.8217;1.0919;1.0496;0.0062
Dubliners,one,15013.986048098506,-4.9133;1.1430
Pride and Prejudice,two,18040.291297293632,13.6487;-4.1357;1.2597;0.8525;0.8331
Dubliners,one,15013.986048099136,-4.9133;1.1430
Federalist Papers,two,24573.2070706199,-2.7318;-0.0225;0.6270;1.2676;0.7684
Dubliners,one,15013.986048098242,-4.9134;1.1430
Ulysses,two,55677.02190628346,-101.3455;-4.0022;0.9784;2.1023;0.5518
Dubliners,one,15013.986048098266,-4.9133;1.1430
Dubliners,two,15009.518885312402,0.7137;-2.0568;0.4526;0.2999;0.8249
Dubliners,one,15013.98604809784,-4.9133;1.1430
King James Bible,two,41310.62611575162,0.3247;-0.7239;0.4775;1.2138;0.4088
Dubliners,two,15009.760248723649,-1.1262;-3.8316;1.0756;0.7977;0.0041
Dubliners,one,15013.986048098208,-4.9134;1.1430
Dubliners,two,15009.986900631595,-2.8181;-2.8284;0.8179;1.5320;0.6749
Dubliners,one,15016.34371987255,-5.6233;1.1997
Dubliners,one,15013.986048100855,-4.9133;1.1430
Dubliners,two,15013.964273244479,-13.1524;-4.9102;1.1427;-17.5620;-2.9957
Origin of Species,one,20414.460504021827,-1.1375;0.9544
Ulysses,two,55672.012937258354,-3.2745;-4.0386;0.9534;1.3702;1.0034
Origin of Species,one,20414.460504021896,-1.1375;0.9544
Dubliners,two,15018.405283417227,-15.8414;-4.1897;1.0669;1.6852;1.7124
Dubliners,two,15009.218445032477,3.2947;-2.0035;0.4082;-0.3625;0.8796
Origin of Species,one,20414.908708834977,-1.1343;0.9477
Ulysses,two,55672.12438334019,-2.0661;-4.1223;0.9497;0.7614;1.1077
Ulysses,two,55902.77664968474,-3.8029;-2.3116;0.7568;0.6354;1.7918
Origin of Species,one,20418.52110055281,-1.3695;1.0021
Dubliners,two,15008.407356491574,-3.9250;-5.8802;1.2188;1.7668;-1.2363
Origin of Species,one,20455.280807863903,-0.4707;0.7815
Origin of Species,one,20453.6808461472,-2.1326;1.1368
Origin of Species,one,20418.05112107419,-0.9699;0.9129
Ulysses,two,55685.53878840872,17.9434;-14.0000;0.5826;2.0804;1.1391
Dubliners,two,15009.027277311656,-3.5101;-4.9856;1.1488;1.5429;-0.8336
Origin of Species,one,20415.73980325612,-1.0371;0.9320
Grimm's Fairy Tales,one,13438.813705489243,-2.3165;1.0792
Origin of Species,two,20414.890066867923,-0.8579;-0.9674;0.7985;0.8702;0.7677
Origin of Species,two,20463.253694018644,-2.9605;0.0549;0.6330;1.4635;0.5076
Grimm's Fairy Tales,one,13471.881774688374,-1.0318;0.8462
Origin of Species,two,20415.71974659904,3.5332;-8.8005;0.8641;2.0084;0.9069
