corpus,V,tokens,zm_c,zm_b,zm_rmse,unit_winner,step2_helps,lzm_rmse,lzm_impr_pct,lzm_lam_exp,lzm_bic_wins,hapax_ratio,ttr
brown,42256,991429,402.2969592018481,1.5220441490801764,0.18485626101302757,is,True,0.15882232375581912,14.083340815474862,23.208017153301096,True,0.39142370314274894,0.04262130722421878
cornell_dialogs,52280,3205372,88.35514610677372,1.5636531319692213,0.17153927769095165,exp,False,0.1616417274797321,5.769844868445324,31.453164261610286,True,0.38856159143075747,0.01631011938707894
wikitext_1M,45905,1000000,451.34959976974596,1.5334405932792927,0.18192446631141743,is,True,0.16385109993353228,9.934544123904283,20.141597054249505,True,0.40644809933558435,0.045905
census_surnames,162254,294979229,234.04830478624115,1.2352780407762982,0.03145717160326297,exp,False,0.01566509039117159,50.20184716941719,21.79318762913729,True,0.0,0.0005500522885969032
lang_finnish,21795,81931,0.0,0.8046639269141526,0.20131406921285852,xpow,True,0.16931036898383747,15.897398703506449,22.44207594359858,True,0.6425785730672172,0.2660165261012315
lang_german,10898,79206,0.961997964844937,1.0277710418440784,0.19868978998271325,xpow,True,0.17663833716426144,11.098432798368936,19.917546535269643,True,0.5695540466140576,0.13759058657172438
lang_italian,17050,150000,1.4422199057539244,1.0663935078941276,0.1927409664731895,xpow,True,0.1709817371790364,11.289364006162044,21.311011864764374,True,0.5482111436950147,0.11366666666666667
lang_polish,11730,32651,0.0,0.685199316640996,0.20301131324050756,xpow,True,0.15726499137478253,22.533878105369105,21.27587988528558,True,0.6855924978687127,0.35925392790419897
lang_portuguese,8840,67299,0.6788848487980268,1.0331586145360023,0.18115981662652322,exp,True,0.16478727814764468,9.037621468027845,19.038101912345546,True,0.5364253393665158,0.1313541063017281
lang_swedish,7906,76261,0.7598720371404555,1.0995903049989582,0.21158575063084442,xpow,True,0.17781580975170452,15.960404128564697,20.54400752015686,True,0.5598279787503162,0.10367029018764506
