corpus,V,rmse,k,w_gate,w_tail,s,s_over_V,k_hit_upper
lang_portuguese,8840,0.08039000657262371,4155.179545413067,0.05000000000000001,9.999999999999998,41551.79545413066,4.7004293500147805,False
lang_swedish,7906,0.08317322940289615,3542.990262871602,0.05000000000000001,9.999999999691685,35429.90262762366,4.4813942104254565,False
lang_finnish,21795,0.10318569447179042,430.1967173187977,1.8234591825748052,0.38204819222211334,164.35587815153417,0.007540990050540682,False
lang_german,10898,0.10237438079928969,117.78157384256347,2.65440524198957,0.8135889630437049,95.82578852822677,0.008792970134724423,False
lang_polish,11730,0.0787782926743753,3740.751911174568,0.05000000000000001,9.999999999887033,37407.5191113231,3.1890468125595137,False
census_surnames,162254,0.009430074720088345,2584.702858234473,1.2235703762979635,1.6700597117759874,4316.608110449634,0.026604016606368006,False
lang_italian,17050,0.10695486700899363,334.569313195639,2.105924680089157,0.47555245751644815,159.10525909977633,0.00933168675072002,False
cornell_dialogs,52280,0.11437970406878525,1165.865347760939,2.163689635957186,0.5406902301731499,630.3720032317615,0.012057612915680213,False
wikitext_1M,45905,0.11024757474022666,383.8009293426094,3.5567095222871505,1.4320951292262274,549.6394415040503,0.011973411208017651,False
brown,42256,0.1113001768538391,618.6601303729466,2.996421743252582,0.8315705421377461,514.4595400132398,0.012174828190392839,False
