slug,corpus,vocabulary_size,k_stat,log_vocabulary_size,log_k_stat,alpha_stat_per_corpus
aesops_fables,Aesop's Fables,4394.0,250.79909890687756,8.387995252944556,5.524652215877023,0.6586379759737735
arabian_nights_vol1,Arabian Nights (Vol 1),13883.0,89.74620451986972,9.538420349034803,4.4969857370019595,0.47146021798641025
canterbury_tales,Canterbury Tales,17653.0,134.2119523589147,9.778661019589283,4.899420284348946,0.5010318155557384
collected_poe,Collected Poe,9312.0,68.81349123711598,9.139059169971219,4.2313998192782005,0.463001687655287
complete_sherlock_holmes,Complete Sherlock Holmes,7817.0,73.8917370296407,8.96405612822033,4.302601008842561,0.4799837202376792
critique_of_pure_reason,Critique of Pure Reason,6537.0,421.9794201244541,8.78523362361273,6.044956545369243,0.6880814790311053
decline_and_fall_vol1,Decline and Fall Vol 1,15983.0,127.54483808636499,9.679280936368654,4.848467974042243,0.5009120001698419
democracy_in_america,Democracy in America,9301.0,78.85114528096787,9.137877200242468,4.367561838109751,0.4779624131952507
don_quixote,Don Quixote,15574.0,164.02003328006995,9.653358136136932,5.099988574510756,0.5283123761273466
dubliners,Dubliners,7157.0,544.0369170321965,8.875846177738598,6.299017106744946,0.7096807426139757
emile,Emile,11174.0,121.6640728464838,9.321344930019094,4.801263745617131,0.5150827248281323
federalist_papers,Federalist Papers,8617.0,77.01846941025158,9.061492275239766,4.34404525556208,0.47939623227755135
grimms_fairy_tales,Grimm's Fairy Tales,4746.0,295.83274181692707,8.465057436995709,5.689794233187385,0.672150694255268
jane_eyre,Jane Eyre,12541.0,109.94814088472613,9.43675855582405,4.700008808124084,0.49805330721568547
king_james_bible,King James Bible,12555.0,139.18042245735833,9.437874271591685,4.935771094743024,0.5229748725939123
les_miserables,Les Miserables,22677.0,212.6243692971713,10.029106473960287,5.359527084443179,0.5343972664323318
moby_dick,Moby Dick,16956.0,172.29660444070635,9.738377032472528,5.149217436089005,0.5287551939013028
origin_of_species,Origin of Species,6887.0,52.643043892301954,8.837390855544697,3.963534110047063,0.4484959616287978
pride_and_prejudice,Pride and Prejudice,6729.0,70.88572196207117,8.814181823188319,4.261069030494397,0.4834333028261786
principia_ethica,Principia Ethica,3814.0,33.081259098023985,8.246433786160365,3.498966931644685,0.4243006155602499
shakespeare,Complete Works of Shakespeare,24458.0,245.1799307720734,10.104712639749316,5.501992352311287,0.5444976565358106
the_iliad,The Iliad,12300.0,70.17101428697478,9.417354541360508,4.25093532386936,0.4513937863547012
ulysses,Ulysses,28990.0,184.34773919684636,10.274706221915702,5.216823860958881,0.5077346007062976
war_and_peace,War and Peace,17445.0,167.61037197710394,9.766808353620874,5.121642071438083,0.5243926046259855
wealth_of_nations,Wealth of Nations,9478.0,73.86619175502778,9.156728602527533,4.30225523687516,0.46984631997148063
