slug,field,new_value,historical_value,abs_diff,matches
king_james_bible,vocabulary_size,12555.0,12555.0,0.0,True
king_james_bible,k_stat,139.18042245735833,139.18042245735833,0.0,True
king_james_bible,log_vocabulary_size,9.437874271591685,9.437874271591685,0.0,True
king_james_bible,log_k_stat,4.935771094743024,4.935771094743024,0.0,True
king_james_bible,alpha_stat_per_corpus,0.5229748725939123,0.5229748725939123,0.0,True
les_miserables,corpus,Les Miserables,Les Miserables,,True
les_miserables,vocabulary_size,22677.0,22677.0,0.0,True
les_miserables,k_stat,212.6243692971713,212.6243692971713,0.0,True
les_miserables,log_vocabulary_size,10.029106473960287,10.029106473960287,0.0,True
les_miserables,log_k_stat,5.359527084443179,5.359527084443179,0.0,True
les_miserables,alpha_stat_per_corpus,0.5343972664323318,0.5343972664323318,0.0,True
moby_dick,corpus,Moby Dick,Moby Dick,,True
moby_dick,vocabulary_size,16956.0,16956.0,0.0,True
moby_dick,k_stat,172.29660444070635,172.29660444070635,0.0,True
moby_dick,log_vocabulary_size,9.738377032472528,9.738377032472528,0.0,True
moby_dick,log_k_stat,5.149217436089005,5.149217436089005,0.0,True
moby_dick,alpha_stat_per_corpus,0.5287551939013028,0.5287551939013028,0.0,True
origin_of_species,corpus,Origin of Species,Origin of Species,,True
origin_of_species,vocabulary_size,6887.0,6887.0,0.0,True
origin_of_species,k_stat,52.643043892301954,52.643043892301954,0.0,True
origin_of_species,log_vocabulary_size,8.837390855544697,8.837390855544697,0.0,True
origin_of_species,log_k_stat,3.963534110047063,3.963534110047063,0.0,True
origin_of_species,alpha_stat_per_corpus,0.4484959616287978,0.4484959616287978,0.0,True
pride_and_prejudice,corpus,Pride and Prejudice,Pride and Prejudice,,True
pride_and_prejudice,vocabulary_size,6729.0,6729.0,0.0,True
pride_and_prejudice,k_stat,70.88572196207117,70.88572196207117,0.0,True
pride_and_prejudice,log_vocabulary_size,8.814181823188319,8.814181823188319,0.0,True
pride_and_prejudice,log_k_stat,4.261069030494397,4.261069030494397,0.0,True
pride_and_prejudice,alpha_stat_per_corpus,0.4834333028261786,0.4834333028261786,0.0,True
principia_ethica,corpus,Principia Ethica,Principia Ethica,,True
principia_ethica,vocabulary_size,3814.0,3814.0,0.0,True
principia_ethica,k_stat,33.081259098023985,33.081259098023985,0.0,True
principia_ethica,log_vocabulary_size,8.246433786160365,8.246433786160365,0.0,True
principia_ethica,log_k_stat,3.498966931644685,3.498966931644685,0.0,True
principia_ethica,alpha_stat_per_corpus,0.4243006155602499,0.4243006155602499,0.0,True
shakespeare,corpus,Complete Works of Shakespeare,Complete Works of Shakespeare,,True
shakespeare,vocabulary_size,24458.0,24458.0,0.0,True
shakespeare,k_stat,245.1799307720734,245.1799307720734,0.0,True
shakespeare,log_vocabulary_size,10.104712639749316,10.104712639749316,0.0,True
shakespeare,log_k_stat,5.501992352311287,5.501992352311287,0.0,True
shakespeare,alpha_stat_per_corpus,0.5444976565358106,0.5444976565358106,0.0,True
the_iliad,corpus,The Iliad,The Iliad,,True
the_iliad,vocabulary_size,12300.0,12300.0,0.0,True
the_iliad,k_stat,70.17101428697478,70.17101428697478,0.0,True
the_iliad,log_vocabulary_size,9.417354541360508,9.417354541360508,0.0,True
the_iliad,log_k_stat,4.25093532386936,4.25093532386936,0.0,True
the_iliad,alpha_stat_per_corpus,0.4513937863547012,0.4513937863547012,0.0,True
ulysses,corpus,Ulysses,Ulysses,,True
ulysses,vocabulary_size,28990.0,28990.0,0.0,True
ulysses,k_stat,184.34773919684636,184.34773919684636,0.0,True
ulysses,log_vocabulary_size,10.274706221915702,10.274706221915702,0.0,True
ulysses,log_k_stat,5.216823860958881,5.216823860958881,0.0,True
ulysses,alpha_stat_per_corpus,0.5077346007062976,0.5077346007062976,0.0,True
war_and_peace,corpus,War and Peace,War and Peace,,True
war_and_peace,vocabulary_size,17445.0,17445.0,0.0,True
war_and_peace,k_stat,167.61037197710394,167.61037197710394,0.0,True
war_and_peace,log_vocabulary_size,9.766808353620874,9.766808353620874,0.0,True
war_and_peace,log_k_stat,5.121642071438083,5.121642071438083,0.0,True
war_and_peace,alpha_stat_per_corpus,0.5243926046259855,0.5243926046259855,0.0,True
wealth_of_nations,corpus,Wealth of Nations,Wealth of Nations,,True
wealth_of_nations,vocabulary_size,9478.0,9478.0,0.0,True
wealth_of_nations,k_stat,73.86619175502778,73.86619175502778,0.0,True
wealth_of_nations,log_vocabulary_size,9.156728602527533,9.156728602527533,0.0,True
wealth_of_nations,log_k_stat,4.30225523687516,4.30225523687516,0.0,True
wealth_of_nations,alpha_stat_per_corpus,0.46984631997148063,0.46984631997148063,0.0,True
