slug,corpus,gate,seed,bic,rmse,k,w_gate,w_tail,best_start_index,best_nfev,runtime_sec,k_hit_lower_bound,k_hit_upper_bound,w_gate_hit_lower_bound,w_gate_hit_upper_bound,w_tail_hit_lower_bound,w_tail_hit_upper_bound
aesops_fables,Aesop's Fables,algebraic,20260415,-19408.54590941615,0.10892251124136017,222.95623782095893,0.5663698114267866,0.19493179577210784,25,22,53.78980588912964,False,False,False,False,False,False
aesops_fables,Aesop's Fables,algebraic,20260515,-19408.54590937997,0.1089225112418086,222.95837268672534,0.5663734269152841,0.19492985450756986,67,37,15.266043186187744,False,False,False,False,False,False
aesops_fables,Aesop's Fables,algebraic,20260615,-19408.54590931571,0.10892251124260506,222.96200988508937,0.5663428737705479,0.19492646132044456,31,26,17.495995044708252,False,False,False,False,False,False
aesops_fables,Aesop's Fables,arctan,20260415,-19390.12179511407,0.10915110772579797,220.62005992823282,0.3406365062005971,0.19617660467530754,84,74,20.128284215927124,False,False,False,False,False,False
aesops_fables,Aesop's Fables,arctan,20260515,-19390.12179508936,0.10915110772610497,220.62349082275344,0.34062531832275716,0.1961733863372769,35,102,16.424885749816895,False,False,False,False,False,False
aesops_fables,Aesop's Fables,arctan,20260615,-19390.121795085688,0.10915110772615051,220.6205415760881,0.34062542930225403,0.1961761250796547,69,68,10.617137908935547,False,False,False,False,False,False
aesops_fables,Aesop's Fables,erf,20260415,-19415.52168323309,0.10883608460096816,209.23105415322877,0.7344009855231811,0.20916655586598332,9,35,220.58673286437988,False,False,False,False,False,False
aesops_fables,Aesop's Fables,erf,20260515,-19415.52167838732,0.10883608466098127,209.23531063094052,0.7343515824235053,0.209161848399528,38,26,301.3257451057434,False,False,False,False,False,False
aesops_fables,Aesop's Fables,erf,20260615,-19415.52168665271,0.10883608455861743,209.22477109363032,0.7344122345230112,0.20917319589794914,14,69,149.97364616394043,False,False,False,False,False,False
aesops_fables,Aesop's Fables,logistic,20260415,-19411.004321567372,0.10889204481283121,223.99198734450516,0.2857745017035272,0.19440069124663384,40,42,150.2432198524475,False,False,False,False,False,False
aesops_fables,Aesop's Fables,logistic,20260515,-19411.00432043465,0.10889204482686679,223.95312872469884,0.2858243499297451,0.19443679773113806,63,21,107.19084477424622,False,False,False,False,False,False
aesops_fables,Aesop's Fables,logistic,20260615,-19411.004317906547,0.10889204485819245,223.97278828547178,0.2857645732141714,0.19441826339534107,47,26,64.15074110031128,False,False,False,False,False,False
aesops_fables,Aesop's Fables,tanh,20260415,-19411.004320250737,0.10889204482914563,223.97689292099736,0.5715332772635534,0.19441450630624804,6,214,111.89778685569763,False,False,False,False,False,False
aesops_fables,Aesop's Fables,tanh,20260515,-19411.004319536765,0.10889204483799246,223.9954891904664,0.5715027337202697,0.19439729453802085,71,49,86.25520300865173,False,False,False,False,False,False
aesops_fables,Aesop's Fables,tanh,20260615,-19411.004321291763,0.10889204481624631,223.95532840680463,0.5716804285857471,0.19443489187872506,47,26,52.2645800113678,False,False,False,False,False,False
moby_dick,Moby Dick,algebraic,20260415,-72185.25011665541,0.11869603077961731,522.7130927562797,2.4688072500187874,0.3672717267502898,84,80,22.654878854751587,False,False,False,False,False,False
moby_dick,Moby Dick,algebraic,20260515,-72185.25011655461,0.11869603077997014,522.6770694425452,2.4688396583982577,0.3672983301802655,45,51,26.3198721408844,False,False,False,False,False,False
moby_dick,Moby Dick,algebraic,20260615,-72185.25011554887,0.11869603078349039,522.7165253369581,2.4685577496865854,0.36726855093835997,90,108,33.42394495010376,False,False,False,False,False,False
moby_dick,Moby Dick,arctan,20260415,-71764.99941024213,0.12017611012133424,274.44962298072306,0.5089900738062354,0.7180948075508629,39,24,34.04598689079285,False,False,False,False,False,False
moby_dick,Moby Dick,arctan,20260515,-71764.99940998011,0.12017611012226281,274.45751792824757,0.5089657803874974,0.7180740771535857,47,20,39.13421392440796,False,False,False,False,False,False
moby_dick,Moby Dick,arctan,20260615,-71764.99940999926,0.12017611012219494,274.4492748614072,0.508988934298711,0.7180954919655191,1,18,49.97404885292053,False,False,False,False,False,False
moby_dick,Moby Dick,erf,20260415,-72936.24003247314,0.11609636814997086,423.3640169851341,2.398449916190498,0.45501018891326683,1,48,579.983470916748,False,False,False,False,False,False
moby_dick,Moby Dick,erf,20260515,-72936.24003138182,0.11609636815370693,423.4027529164338,2.398376930940632,0.45496662035967445,57,123,959.4066772460938,False,False,False,False,False,False
moby_dick,Moby Dick,erf,20260615,-72936.24002520436,0.11609636817485523,423.3837457796896,2.398364070978763,0.45498738944120887,4,64,562.4064953327179,False,False,False,False,False,False
moby_dick,Moby Dick,logistic,20260415,-72573.62169355183,0.11734443831574984,446.62972775998014,1.1003722941386382,0.4336504034032412,37,68,217.50458788871765,False,False,False,False,False,False
moby_dick,Moby Dick,logistic,20260515,-72573.62170971066,0.11734443825983608,446.5818767140019,1.1003219334502536,0.4336973672814958,96,141,300.82700204849243,False,False,False,False,False,False
moby_dick,Moby Dick,logistic,20260615,-72573.62170692062,0.1173444382694903,446.6220891774462,1.100284097372523,0.43365634766322114,98,181,262.24563360214233,False,False,False,False,False,False
moby_dick,Moby Dick,tanh,20260415,-72573.62171121755,0.11734443825462176,446.59634040068426,2.20065952110358,0.4336830011060948,39,64,98.35694003105164,False,False,False,False,False,False
moby_dick,Moby Dick,tanh,20260515,-72573.62170271203,0.11734443828405318,446.6222146193788,2.2007174747137404,0.4336575160752651,37,61,281.26558089256287,False,False,False,False,False,False
moby_dick,Moby Dick,tanh,20260615,-72573.62170994042,0.11734443825904102,446.58497040627003,2.200637285796429,0.43369422862769114,29,79,157.1562900543213,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,algebraic,20260415,-106146.18281255414,0.11396912168311966,553.7588386036174,2.932196748682635,0.5511019370954897,67,186,35.56474709510803,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,algebraic,20260515,-106146.18281101888,0.11396912168669664,553.7711435220956,2.9321859789186946,0.5510893348765717,45,56,37.34611988067627,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,algebraic,20260615,-106146.18280900299,0.11396912169139349,553.7509310664153,2.9322122887487807,0.5511103335656798,53,170,37.84931826591492,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,arctan,20260415,-105034.13460379837,0.11658975236545475,612.9678487623045,2.19551447911423,0.49358135351751553,50,87,36.87185025215149,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,arctan,20260515,-105034.13459177884,0.1165897523941029,613.021557375177,2.1954528123684347,0.49353644266463237,15,73,42.44695711135864,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,arctan,20260615,-105034.13458793865,0.11658975240325592,612.9299232367179,2.1955579422543234,0.4936126143101245,20,69,36.92961311340332,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,erf,20260415,-108101.40890745526,0.10950349362874981,512.0946871423376,2.6465868538771136,0.5945384869123734,79,66,674.6475229263306,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,erf,20260515,-108101.40890310204,0.10950349363849496,512.0825078485079,2.6466056801221822,0.5945531376559308,55,52,837.3194370269775,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,erf,20260615,-108101.40889428178,0.10950349365824,512.1187199128603,2.646524761407498,0.5945093259487705,3,39,838.7994999885559,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,logistic,20260415,-107202.19167713833,0.11153510000339996,517.4737850106158,1.258543154194611,0.5913011967647902,21,59,327.4373598098755,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,logistic,20260515,-107202.19167644875,0.11153510000497231,517.4581656611572,1.2584992965539195,0.5913190306371823,88,226,229.73551177978516,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,logistic,20260615,-107202.19167608127,0.11153510000581017,517.516492178662,1.2584819651426797,0.5912508340885827,59,238,197.30677199363708,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,tanh,20260415,-107202.19168431366,0.11153509998703928,517.4794153189266,2.5170050336006846,0.5912942115909777,12,35,136.58819317817688,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,tanh,20260515,-107202.19168334552,0.11153509998924672,517.4864217452117,2.5170529468520813,0.5912862237330939,15,35,306.14127707481384,False,False,False,False,False,False
shakespeare,Complete Works of Shakespeare,tanh,20260615,-107202.1916782381,0.11153510000089234,517.4840509824411,2.517056388975049,0.5912885762455014,20,52,174.89750504493713,False,False,False,False,False,False
