transition_fraction,sigmoid_width,tail_slope_b2,tail_head_slope_contrast,transition_k,single_zm_c,theta_deg,angle_r2,winner_full,winner_top100,flip_lambda,source_model
0.45,0.2,1.6,1.3999999999798098,63.78113270551673,0.0,-21.555240293965376,0.8625945768044455,is,is,0.0,legacy_coupled_logistic
0.45,0.2,1.8,1.1999999999798099,63.78113270551673,0.0,-22.366175137820363,0.8637243573414827,is,is,0.0,legacy_coupled_logistic
0.45,0.2,2.0,0.9999999999798099,63.78113270551673,0.0,-23.16133038580874,0.8648884347466642,is,is,0.0,legacy_coupled_logistic
0.45,0.2,2.2,0.7999999999798098,63.78113270551673,0.0,-23.940864728702206,0.8660870569308856,is,is,0.0,legacy_coupled_logistic
0.45,0.2,2.4,0.59999999997981,63.78113270551673,0.0,-24.704953818327425,0.8673202482750603,xpow,is,0.0,legacy_coupled_logistic
0.45,0.2,2.6,0.39999999997980984,63.78113270551673,0.0,-25.453788393000067,0.8685877564365229,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,1.6,1.3999999999798098,63.78113270551673,0.0,-27.41905334996233,0.7780899226912308,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,1.8,1.1999999999798099,63.78113270551673,0.0,-29.382806129354837,0.72571732069926,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,2.0,0.9999999999798099,63.78113270551673,0.0,-31.63567003817067,0.6542179981502515,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,2.2,0.7999999999798098,63.78113270551673,0.0,-34.237792536801514,0.5577351416622917,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,2.4,0.59999999997981,63.78113270551673,0.0,-37.2635373171419,0.4355812655760861,xpow,is,0.0,legacy_coupled_logistic
0.45,0.5,2.6,0.39999999997980984,63.78113270551673,0.0,-40.80376669656009,0.30796220763465587,xpow,is,0.0,legacy_coupled_logistic
0.45,0.8,1.6,1.3999999999798098,63.78113270551673,0.0,-36.01662386502496,0.7137641001726677,xpow,exp,0.0,legacy_coupled_logistic
0.45,0.8,1.8,1.1999999999798099,63.78113270551673,0.0,-41.0907301236978,0.5027692285992775,xpow,exp,0.0,legacy_coupled_logistic
0.45,0.8,2.0,0.9999999999798099,63.78113270551673,0.17445377435525944,-47.38282408925226,0.3574566031129166,xpow,exp,0.0,legacy_coupled_logistic
0.45,0.8,2.2,0.7999999999798098,63.78113270551673,0.8159613544412327,-58.380050242958944,0.3979448217840236,xpow,exp,0.0,legacy_coupled_logistic
0.45,0.8,2.4,0.59999999997981,63.78113270551673,1.6863923948691348,-113.69266243121224,0.5643516537275057,xpow,xpow,0.0,legacy_coupled_logistic
0.45,0.8,2.6,0.39999999997980984,63.78113270551673,2.6546928981931606,172.8374415669215,0.7091410490548242,xpow,xpow,0.0,legacy_coupled_logistic
0.45,1.1,1.6,1.3999999999798098,63.78113270551673,1.0712799628944225,-41.76962029966109,0.5807184002739572,exp,xpow,0.4,legacy_coupled_logistic
