corpus,V,lzm_exp_c,lzm_exp_lam,lzm_exp_rmse,lzm_impr_pct,lzm_is_lam,lzm_is_rmse,tokens,zm_c,zm_rmse
Russian War and Peace,25414,371.6034076742666,22.77782193268836,0.17174170323588728,12.876306817437923,3.5583261853753987,0.19028477025654109,150000,0.11287182150708547,0.19712399344230463
Mandarin Three Kingdoms,37049,399.624397542175,28.645453959955262,0.19204870771943036,21.640605832089705,5.616469846555504,0.22761794601502378,150000,0.0,0.24508702467492796
Arabic 1001 Nights,25016,345.9670993970407,23.199027834023926,0.17549354779439136,14.281726919502445,3.6093698671108103,0.1967727660714747,127608,0.07886143804789324,0.20473294839897946
Latin Gallic Wars,11126,208.34399917552653,16.010543950975446,0.17403859576288658,7.372460727055344,1.7869861589741465,0.18571818133672932,51425,3.6870901799794473,0.1878907689105815
French Les Miserables,14406,380.5580275686437,21.885057238952566,0.16465467384492927,6.441240820357601,1.6127205810605962,0.1745052229454794,150000,1.5083375985779468,0.17599065580676998
Spanish Don Quixote,13114,286.40680825119415,21.008573297763697,0.1751018592915912,8.636943264378042,2.3638826475664905,0.18910140692845237,150000,1.9816064187242586,0.19165499223420787
Dutch Max Havelaar,13772,291.64128093626323,21.105623572884895,0.1706302716674723,8.047037175533191,1.928499665748571,0.18321395023550546,125378,1.3549978144400507,0.1855625598418141
