slug,language,corpus,token_count,raw_token_count,vocabulary_size,zm_a,zm_b,zm_c,single_zm_rmse,single_zm_bic,moezipf_rmse,moezipf_bic,smooth_7param_rmse,smooth_7param_bic,smooth_8param_rmse,smooth_8param_bic,transition_fraction,step2_winner,step2_winner_display,step2_rmse,bregman_in_beam,artifact_note,high_bregman_rmse,low_bregman_rmse,euclidean_rmse,xpow_rmse,gap_to_high_bregman,gap_to_euclidean,k_over_sqrt_v
russian_war_and_peace,Russian,"War and Peace (Russian, Wikisource)",150000,457717,26011,9.185151817875697,0.9369301417627752,0.0,0.1986533462288086,-84047.14294739645,0.03084238654232212,-180957.20061735416,0.1077116630127653,-115849.32388808386,0.10760855662525598,-115888.9792316114,0.4810185733443627,"sub[pow[x,x],sqrt[x]]",x^x - sqrt(x),0.19637860031232898,True,Top tokens look lexical rather than markup-heavy. Truncated to first 150000 tokens for feasibility.,0.19806146324069945,0.19715648478863781,0.19773685248974243,0.19637860031232898,0.001682862928370471,0.0013582521774134493,77.57831999344482
mandarin_three_kingdoms,Mandarin,"Romance of the Three Kingdoms (Chinese, Gutenberg 23950)",80000,285618,23483,7.452578730808522,0.7762302569081256,0.0,0.24068002348335757,-66862.86790802027,0.05605971184062806,-135304.78650059228,0.09377799625183116,-111089.85622987058,0.09328835243243375,-111325.65859018575,0.4606997491962984,"sub[pow[x,x],sqrt[x]]",x^x - sqrt(x),0.23407863260910258,True,Top Chinese tokens are mostly single characters; segmentation may be too fine. Truncated to first 80000 tokens for feasibility.,0.23597470838497606,0.23753106603014268,0.23527198265696336,0.23407863260910258,0.0018960757758734736,0.0011933500478607806,70.59838476886385
arabic_1001_nights,Arabic,"One Thousand and One Nights (Arabic, Wikisource)",127197,127197,25629,8.748781443593405,0.8958805246109185,0.0,0.20703217962197742,-80694.79794417854,0.042526004529655645,-161833.98349928387,0.10445971787821026,-115718.39130444112,0.10445800377377717,-115709.08093629166,0.5021534026650322,"sub[pow[x,x],sqrt[x]]",x^x - sqrt(x),0.20359386494267542,True,Top tokens look lexical rather than markup-heavy.,0.20537194351156746,0.2050810931556482,0.20488871982016407,0.20359386494267542,0.001778078568892033,0.0012948548774886492,80.390039197907
latin_gallic_wars,Latin,"De Bello Gallico (Latin, Gutenberg 218 + 18837)",51420,51420,11127,8.428195128065193,0.9379471062846935,3.6737168564664144,0.18805819616625413,-37158.56739765964,0.07371231939924765,-58010.569846068254,0.1076111764700154,-49544.08155993654,0.10601769068423839,-49866.76160672851,0.6234561983461814,"eml[sub[x,1],eml[x,1]]",exp(x-1) - x,0.18782543545754327,True,Top tokens look lexical rather than markup-heavy.,0.1915320252626404,0.18782543545754327,0.19147077561280793,0.18841474422075474,0.003706589805097138,0.003645340155264659,65.76502522609225
french_les_miserables,French,"Les Misérables (French, Gutenberg)",150000,515162,16603,10.04870430284479,1.067507330951326,1.4439941485307846,0.18165515336912488,-56608.50086624074,0.034707486866514,-111579.28532305053,0.10910570498893464,-73497.81604952473,0.10858296534347892,-73647.57532489779,0.46859633581772864,"eml[sub[x,1],eml[x,1]]",exp(x-1) - x,0.18131927620589908,True,Top tokens look lexical rather than markup-heavy. Truncated to first 150000 tokens for feasibility.,0.18417652647903124,0.18131927620589908,0.1842942633572469,0.182013176324532,0.0028572502731321614,0.0029749871513478354,60.379869809496356
spanish_don_quixote,Spanish,"Don Quijote (Spanish, Gutenberg)",150000,383633,13114,10.42117150518011,1.135925993005708,1.9858681958674453,0.1916549930516649,-43301.74431380267,0.06891318880124828,-70138.5162794478,0.1063358563761554,-58714.5839489156,0.10542773290258015,-58930.055335008336,0.42120897713127936,"eml[sub[x,1],eml[x,1]]",exp(x-1) - x,0.19141701898552235,True,Top tokens look lexical rather than markup-heavy. Truncated to first 150000 tokens for feasibility.,0.19476000216327605,0.19141701898552235,0.1947380800807657,0.1920860864100655,0.0033429831777536945,0.003321061095243355,48.235324915285304
dutch_max_havelaar,Dutch,"Max Havelaar (Dutch, Gutenberg)",123697,123697,14115,9.775051171436662,1.058055905636414,0.9956392549199007,0.18734631217199718,-47250.83846752745,0.051588077093609755,-83667.72841728933,0.10689560181082215,-63052.64558070395,0.10647498660352708,-63154.38973848706,0.47681505303062516,"eml[sub[x,1],eml[x,1]]",exp(x-1) - x,0.1866832244790856,True,Top tokens look lexical rather than markup-heavy.,0.18948170547245732,0.1866832244790856,0.18929706095311785,0.18681897125052474,0.0027984809933717103,0.0026138364740322384,56.64875881741787
