row_type,gate,gate_a,gate_b,derivative_cosine,passes_derivative_cosine,reparameterization_alpha,reparameterization_beta,reparameterization_residual,passes_reparameterization,central_slope_abs,value_z1,value_z3,value_z10,z_star_sigma_eq_0p25
gate_summary,logistic,,,,,,,,,0.25,0.2689414213699951,0.04742587317756678,4.5397868702434395e-05,1.0986122886681096
gate_summary,tanh,,,,,,,,,0.5,0.11920292202211757,0.002472623156634768,2.0611536366565986e-09,0.5493061443340549
gate_summary,erf,,,,,,,,,0.5641895835477563,0.07864960352514261,1.1045248499319538e-05,0.0,0.47693627620447
gate_summary,algebraic,,,,,,,,,0.5,0.14644660940672627,0.025658350974743116,0.0024814048950054235,0.5773502691896258
gate_summary,arctan,,,,,,,,,0.3183098861837907,0.25,0.10241638234956674,0.031725517430553574,1.0
pairwise_check,,logistic,tanh,0.9104784890731145,True,2.0,1.3514713863561099e-17,6.439923092143648e-30,False,,,,,
pairwise_check,,logistic,erf,0.8711150754909042,True,2.4055649479485517,-1.0736468844132376e-10,0.022203743727401016,True,,,,,
pairwise_check,,logistic,algebraic,0.9107424903036092,True,1.6910241355282212,5.2991506418700285e-11,0.2925555877713485,True,,,,,
pairwise_check,,logistic,arctan,0.970766686816939,True,0.8030182823005805,1.4605721144551155e-10,2.9779989247059184,True,,,,,
pairwise_check,,tanh,erf,0.9958772456733048,False,1.2027824763984032,-5.96700455190142e-11,0.02220374372739962,True,,,,,
pairwise_check,,tanh,algebraic,0.9973317669472672,False,0.8455123474342946,8.056745124305704e-11,0.29255558776472956,True,,,,,
pairwise_check,,tanh,arctan,0.9771544955114962,True,0.4015081536606134,3.4416630357246115e-10,2.9779989242057,True,,,,,
pairwise_check,,erf,algebraic,0.9932340138396126,False,0.7093136652428272,-6.86110425855411e-11,0.4900733838451139,True,,,,,
pairwise_check,,erf,arctan,0.9575730830285502,True,0.34125799270056817,-2.051400797722374e-12,3.8177661326040115,True,,,,,
pairwise_check,,algebraic,arctan,0.9803110786977621,True,0.46902326373813485,3.292917453427639e-10,0.988481896282566,True,,,,,
