grid_index,domain_value,sr_x,log_p_emp,log_p_fit,residual
1,-3.5837344110728893,0.050000000000000003,-4.1647133927003051,-3.9580553715268612,-0.2066580211734439
2,-3.5717352692821973,0.15293841843250633,-4.1418206853225508,-3.9410715662090561,-0.20074911911349469
3,-3.5597361274915054,0.21315353309906598,-4.1192107564740059,-3.9241440717369414,-0.19506668473706457
4,-3.5477369857008134,0.25587683686501261,-4.0968760128204469,-3.907272888110517,-0.1896031247099299
5,-3.5357378439101215,0.28901560580170754,-4.0748074356955568,-3.8904580153297816,-0.18434942036577517
6,-3.5237387021194295,0.31609195153157227,-4.0529946113106456,-3.8736994533947358,-0.17929515791590989
7,-3.5117395603287376,0.33898467565532181,-4.031425778011954,-3.8569972023053798,-0.17442857570657422
8,-3.4997404185380456,0.3588152552975189,-4.0100878907579531,-3.8403512620617146,-0.16973662869623851
9,-3.4877412767473537,0.37630706619813192,-3.9889667028148006,-3.823761632663738,-0.16520507015106256
10,-3.4757421349566617,0.39195402423421388,-3.9680468644689659,-3.8072283141114514,-0.16081855035751458
11,-3.4637429931659698,0.4061084194979287,-3.9473120383309812,-3.7907513064048546,-0.15656073192612663
12,-3.4517438513752778,0.41903036996407855,-3.926745030554875,-3.7743306095439486,-0.15241442101092639
13,-3.4397447095845859,0.4309174120902734,-3.9063279370258233,-3.7579662235287312,-0.14836171349709204
14,-3.4277455677938939,0.44192309408782804,-3.8860423032786531,-3.7416581483592037,-0.14438415491944934
15,-3.415746426003202,0.45216913890077348,-3.8658692966067947,-3.7254063840353662,-0.14046291257142851
16,-3.4037472842125105,0.46175367373002524,-3.845789888513599,-3.709210930557219,-0.13657895795638009
17,-3.3917481424218185,0.47075696027994851,-3.8257850453538196,-3.6930717879247617,-0.13271325742905793
18,-3.3797490006311266,0.47924548463063815,-3.8058359247234308,-3.6769889561379934,-0.12884696858543743
19,-3.3677498588404347,0.48727493984981185,-3.7859240748920988,-3.6609624351969146,-0.12496163969518426
20,-3.3557507170497427,0.49489244266672017,-3.766031634346978,-3.6449922251015257,-0.12103940924545231
21,-3.3437515752590508,0.50213820875438786,-3.7461415283407526,-3.6290783258518275,-0.1170632024889251
22,-3.3317524334683588,0.50904683793043504,-3.7262376592230027,-3.613220737447818,-0.11301692177518463
23,-3.3197532916776669,0.51564831343796358,-3.706305087291859,-3.5974194598894984,-0.10888562740236063
24,-3.3077541498869749,0.52196878839658489,-3.6863301989410617,-3.5816744931768687,-0.10465570576419303
25,-3.295755008096283,0.52803121160341504,-3.6663008590009087,-3.5659858373099294,-0.10031502169097939
26,-3.283755866305591,0.53385583052277974,-3.6462065443829346,-3.550353492288679,-0.095853052094255542
27,-3.2717567245148991,0.53946059929719792,-3.6260384564354471,-3.5347774581131186,-0.091260998322328479
