slug,name,cutoff,winner,zipf,zm,moe,softk,softk_minus_moe,softk_minus_zm,step2_help,step2_gain
shakespeare,Complete Works of Shakespeare,top50,zm,4.621295752687553,4.527264531046672,4.589778232616867,4.543036505959832,-0.04674172665703491,0.01577197491315996,0,-0.0363749750459028
shakespeare,Complete Works of Shakespeare,top100,zm,5.03036176207807,4.856260509102248,4.907014126684411,4.8782026584963,-0.028811468188110645,0.021942149394051924,0,-0.029801530300526596
shakespeare,Complete Works of Shakespeare,top200,zm,5.366804742591818,5.159650864566742,5.190471416369825,5.184780879261143,-0.005690537108682392,0.025130014694401126,0,-0.023892012116598922
shakespeare,Complete Works of Shakespeare,top500,zm,5.77683106823372,5.563381112185421,5.567993847246362,5.583226132342532,0.015232285096169917,0.019845020157111648,0,-0.02064914603526482
shakespeare,Complete Works of Shakespeare,top1000,moe,6.089576819678412,5.889802372638554,5.879427381244254,5.895184818742507,0.015757437498253424,0.005382446103952887,0,-0.016258369797493552
shakespeare,Complete Works of Shakespeare,full,softk,6.987294124701005,6.886706263261564,6.885901469512454,6.882154461847067,-0.0037470076653871587,-0.004551801414496737,0,-0.0010896150246089142
war_and_peace,War and Peace,top50,zm,4.325236619823667,4.275979996778184,4.325511286777305,4.3135284574154324,-0.011982829361872227,0.03754846063724848,0,-0.02985940455121383
war_and_peace,War and Peace,top100,zm,4.689003372270712,4.599307303584137,4.631805028997445,4.64030786220721,0.008502833209764304,0.041000558623072614,0,-0.03214468702424132
war_and_peace,War and Peace,top200,zm,5.068277611343874,4.958789141620635,4.969449850456851,4.991755326829891,0.022305476373039923,0.03296618520925598,0,-0.011567709953452326
war_and_peace,War and Peace,top500,moe,5.512708390081865,5.400835079951594,5.388830975970513,5.408986435730798,0.020155459760284877,0.008151355779204117,0,-0.005539672474597149
war_and_peace,War and Peace,top1000,moe,5.8395185505993785,5.737250226979192,5.714696601918907,5.721093915091747,0.006397313172840313,-0.016156311887445263,0,-0.005659473780548097
war_and_peace,War and Peace,full,moe,6.728314623077691,6.685806986839008,6.678027667860953,6.678678865152861,0.000651197291907657,-0.007128121686147182,0,-0.0009358103826155872
moby_dick,Moby Dick,top50,zm,4.325385795252989,4.299386655629538,4.336406023344887,4.332557375611218,-0.0038486477336689973,0.03317071998167975,0,-0.02863921432926328
moby_dick,Moby Dick,top100,zm,4.7098469427416205,4.653280753803315,4.677216267807484,4.680034866071619,0.002818598264134664,0.026754112268303487,0,-0.010235569712402928
moby_dick,Moby Dick,top200,zm,5.081858204040724,5.010766533924114,5.0186597494169805,5.0221971231166505,0.003537373699669999,0.011430589192536367,0,-0.0018585772090735225
moby_dick,Moby Dick,top500,softk,5.499867085364925,5.426066436904787,5.417392532866205,5.417304026641254,-8.850622495071292e-05,-0.008762410263532416,0,-0.004973515128425782
moby_dick,Moby Dick,top1000,moe,5.799932923406829,5.731191078822747,5.714449830630524,5.714660990156417,0.00021115952589312315,-0.016530088666330656,1,0.012734436564756174
moby_dick,Moby Dick,full,zm,6.963919141212996,6.947351041367365,6.94910570072398,6.948129203324875,-0.0009764973991046588,0.0007781619575100152,0,-0.0004310221974201389
