slug,name,best_lambda,free_test_avg_nll,fixed_k_test_avg_nll,softk_test_avg_nll,free_step2_gain,fixed_k_step2_gain,softk_step2_gain,softk_transition_fraction,softk_w,softk_dev_logk
shakespeare,Complete Works of Shakespeare,0.0001,6.882206891519898,6.882279159095964,6.882154461847067,-0.001632771917461709,-0.0011492158115366524,-0.0010896150246089142,0.5380946129422409,4.361771135526983,0.16846905816768576
war_and_peace,War and Peace,0.03,6.678951764046226,6.678691148647906,6.678678865152861,-0.002323616080895527,-0.0007343502645919264,-0.0009358103826155872,0.5221226623808436,5.0,0.006840427756377387
moby_dick,Moby Dick,0.0001,6.9480969324091895,6.95188579599731,6.948129203324875,-0.0013939509683381784,-0.0016972077667074814,-0.0004310221974201389,0.41179461214221513,5.0,-1.0675956353096314
king_james_bible,King James Bible,0.0003,6.0158694645472615,6.021741760706273,6.016425262838996,0.09734080089440164,7.056734409235932e-05,0.0894896871269378,0.3879590100954442,5.0,-1.2596096315167697
federalist_papers,Federalist Papers,0.003,6.200536869015857,6.200500757558244,6.199844992900314,-0.0023488436942826207,-0.0014791992962258638,-0.0018337847342417835,0.5384001647479141,5.0,0.1538449040139147
grimms_fairy_tales,Grimm's Fairy Tales,0.0001,6.077593931411171,6.082621061135337,6.077603811556091,-0.00047926331596911953,-0.0029366556640126884,-0.0004983982554198074,0.3252370719315698,5.0,-1.6607191176258977
don_quixote,Don Quixote,0.0003,6.496717047873529,6.497166045244131,6.496925073059477,-0.0017106976218954073,-0.0014055878491310292,-0.0013981574011522058,0.5851017752005254,5.0,0.6147209012123511
pride_and_prejudice,Pride and Prejudice,0.0003,6.336766342865564,6.337527941837865,6.336783021894429,-0.0025348954019614456,-0.0013278986915389868,-0.0026861175930713577,0.5290053232543321,3.3803550591468827,0.06683825637923935
canterbury_tales,Canterbury Tales,0.001,6.807096938367609,6.806869355807823,6.806097442244247,-0.0015208419219234631,-0.001096882312863201,-0.0011308453724043765,0.5341485322738618,5.0,0.12444563421603227
arabian_nights_vol1,Arabian Nights (Vol 1),0.001,6.689644951042864,6.68796873777142,6.687754725961309,-0.0022997173470753196,0.0013021941182910501,0.0011603129084946096,0.5161419581884573,5.0,-0.05036600004748415
aesops_fables,Aesop's Fables,0.0003,6.232214731194349,6.2306101899149455,6.22074737680541,-0.0013882220291562275,-0.0009358154679697528,-0.0015259890005038523,0.3279656462745468,4.9970177297013025,-1.6227133878035502
complete_sherlock_holmes,Complete Sherlock Holmes,0.003,6.457764777704256,6.4538267111255285,6.453747597117771,-0.0024625705016284305,-0.0006844993348397721,0.00019275310219099562,0.5241050500481098,5.0,0.024048434536733332
jane_eyre,Jane Eyre,0.0003,6.6441230025201,6.644192970596715,6.642788574812209,-0.0014136422844864271,-0.0014830531900907884,-0.0016077082842209933,0.48520960410769437,5.0,-0.34173034932975543
dubliners,Dubliners,0.001,6.550685188767153,6.51721815836002,6.517051665375395,-0.002642482304680255,0.0010998936436495688,0.0011538479227290455,0.521735518243421,3.816969544872714,0.0027801883688409745
the_iliad,The Iliad,0.001,6.880023653882432,6.879755294510447,6.879693438081945,-0.0014545179579809886,-0.0013125668475314212,-0.0013858788785054421,0.5474071329512779,5.0,0.24470850281804246
democracy_in_america,Democracy in America,0.001,6.316106312812377,6.3128292234156484,6.311611212604429,-0.0016007846025215544,-0.0013497226972511156,-0.0013453984406848196,0.5215348813330228,5.0,0.0010288691057018795
origin_of_species,Origin of Species,0.003,6.375771827312974,6.3753999062365985,6.375321709061686,-0.0021035848253423417,-0.001751813323686735,-0.0016455215170733117,0.531302344696138,5.0,0.08731392758746104
wealth_of_nations,Wealth of Nations,0.0001,6.15558639363369,6.156624076111844,6.155611767747408,-0.0006169353925083998,-0.001566999572470723,-0.0007826936887813107,0.37554834222985467,5.0,-1.335728126531638
les_miserables,Les Miserables,0.03,6.8027470721870085,6.802485482574599,6.801859574689947,-0.0009508822706279368,-0.001150573460542731,-0.0013088766963406384,0.5225604992199274,5.0,0.011415247062500633
decline_and_fall_vol1,Decline and Fall Vol 1,0.003,6.718567313339342,6.717887503162098,6.717869269968219,0.0004243674817353271,0.00010940106331247534,-3.291230885033025e-05,0.5292243621651763,5.0,0.07551847308559712
emile,Emile,0.01,6.491234477539037,6.490527423739745,6.489722409140335,-0.0006524355220028366,-0.0012890547431828048,-0.0014853490399472646,0.5235666806462366,5.0,0.01998862867743334
ulysses,Ulysses,0.0001,7.35632114526539,7.353073410020209,7.353701494174882,-0.0011897530925792377,0.0020936802153609657,-0.0014928215431750796,0.5214768695893947,5.0,0.0005608154800098575
collected_poe,Collected Poe,0.01,6.682485663276571,6.671851093916935,6.671484550103681,-0.0026774509831055116,-0.0014986048662198603,-0.0014374047840695625,0.5239598281178439,5.0,0.023190734338778718
principia_ethica,Principia Ethica,0.0003,5.91070755829383,5.910689594738049,5.91068217315341,-0.0030965196567836334,-0.0016356804868936925,-0.0013513877342089253,0.4722337506822459,1.2757749553445525,-0.40563001146710054
critique_of_pure_reason,Critique of Pure Reason,0.0003,5.953364176700566,5.953297649520158,5.952965161503562,-0.0023698710684540575,-0.0019154565693191572,-0.0015729479215106368,0.49319619358737127,5.0,-0.24797282883719873
