slug,name,winner_test,winner_bic,free_test_avg_nll,fixed_k_test_avg_nll,fixed_kw_test_avg_nll,free_bic,fixed_k_bic,fixed_kw_bic,free_rmse,fixed_k_rmse,fixed_kw_rmse,free_step2_gain,fixed_k_step2_gain,fixed_kw_step2_gain,fixed_k_transition_fraction,fixed_kw_transition_fraction
shakespeare,Complete Works of Shakespeare,free,free,6.882206891519898,6.882279159095964,6.886567168611609,10865241.009456422,10865256.061737945,10883481.561235059,0.11138017423232514,0.15981061762081103,0.4926495582748371,-0.001632771917461709,-0.0011492158115366524,0.08978078725324701,0.521422287446811,0.521422287446811
war_and_peace,War and Peace,fixed_k,free,6.678951764046226,6.678691148647906,6.681960617501458,6216809.499289271,6217024.198546171,6225477.054152581,0.11793148904385596,0.1793599878242631,0.4583980404508526,-0.002323616080895527,-0.0007343502645919264,0.09249218630512573,0.521422287446811,0.521422287446811
moby_dick,Moby Dick,fixed_kw,free,6.9480969324091895,6.95188579599731,6.942673493776483,2408487.1759642963,2408783.03840452,2410838.8822449124,0.11665095163884524,0.15821416976225214,0.2840720181274045,-0.0013939509683381784,-0.0016972077667074814,0.024447459129214366,0.521422287446811,0.521422287446811
king_james_bible,King James Bible,free,free,6.0158694645472615,6.021741760706273,6.020710635983078,7621173.570458647,7626097.16328932,7629135.087050734,0.34638226012697504,0.16472062563613565,0.5420893630960238,0.09734080089440164,7.056734409235932e-05,0.13962060405795307,0.521422287446811,0.521422287446811
federalist_papers,Federalist Papers,fixed_kw,free,6.200536869015857,6.200500757558244,6.19765582979414,1895105.64624692,1895658.5537377049,1897327.9899121565,0.11272374917340751,0.16509740841199275,0.2681948334684777,-0.0023488436942826207,-0.0014791992962258638,0.02452117796284692,0.521422287446811,0.521422287446811
grimms_fairy_tales,Grimm's Fairy Tales,free,free,6.077593931411171,6.082621061135337,6.080534267666982,985947.5133868268,986358.638231495,986530.3876638436,0.20718641683560113,0.15157117677716925,0.24271210112670147,-0.00047926331596911953,-0.0029366556640126884,0.011116277407724112,0.521422287446811,0.521422287446811
don_quixote,Don Quixote,free,free,6.496717047873529,6.497166045244131,6.498339176190823,4480545.201417977,4480835.541656985,4487318.224307876,0.14654026263498426,0.15233712941524635,0.37781822644813806,-0.0017106976218954073,-0.0014055878491310292,0.07718170109881295,0.521422287446811,0.521422287446811
pride_and_prejudice,Pride and Prejudice,fixed_kw,fixed_k,6.336766342865564,6.337527941837865,6.333796415231088,1297375.8497568062,1297362.1926813053,1298034.7474430455,0.11412779014623715,0.15771681097743093,0.15786282810852637,-0.0025348954019614456,-0.0013278986915389868,-0.0013484804539405926,0.521422287446811,0.521422287446811
canterbury_tales,Canterbury Tales,fixed_kw,free,6.807096938367609,6.806869355807823,6.798762041179787,3041619.0046073254,3041648.807403318,3044339.9953412153,0.12449239639708805,0.16066072311995566,0.24868512142921262,-0.0015208419219234631,-0.001096882312863201,0.00485590759989446,0.521422287446811,0.521422287446811
arabian_nights_vol1,Arabian Nights (Vol 1),fixed_kw,free,6.689644951042864,6.68796873777142,6.6774101939450325,1869040.8412834336,1869392.9657389605,1870889.3499208016,0.1166403970964615,0.18043363602343862,0.1902425559259154,-0.0022997173470753196,0.0013021941182910501,0.0002145789391382047,0.521422287446811,0.521422287446811
aesops_fables,Aesop's Fables,fixed_kw,free,6.232214731194349,6.2306101899149455,6.222483793751921,406229.5892923548,406333.1290304298,406345.01688373584,0.15719676158974477,0.1788888009527931,0.17071592192431084,-0.0013882220291562275,-0.0009358154679697528,-0.001966083695417814,0.521422287446811,0.521422287446811
