slug,corpus,gate_family,seed,a1,b1,c1,a2,b2,c2,k,w_gate,w_tail,BIC,final_rmse,k_hit_lower_bound,k_hit_upper_bound,w_gate_hit_lower_bound,w_gate_hit_upper_bound,w_tail_hit_lower_bound,w_tail_hit_upper_bound,any_bounds_hit,best_start_index,best_nfev,wall_clock_seconds,peak_memory_mb,starts_within_1_bic,optimizer_warm_start_info,dispersion_min_bic,dispersion_median_bic,dispersion_max_bic,dispersion_across_starts,parameter_source
moby_dick,Moby Dick,erf,20260415,,,,,,,423.40622775409474,2.3984910164998943,0.45496415247858146,-72936.24002689857,0.11609636816905518,False,False,False,False,False,False,False,82,76,2728.698386192322,75.08203125,43,100 random starts; best objective selected; per-start dispersion summarized.,-72936.24002689857,-71981.52624283612,-60526.21562142142,min=-72936.24002689857;median=-71981.52624283612;max=-60526.21562142142;within1=43,non-logistic a/b/c coefficients not saved in source bundle
moby_dick,Moby Dick,algebraic,20260415,,,,,,,522.690206652638,2.468722492392112,0.36728771512240993,-72185.25011864981,0.11869603077263666,False,False,False,False,False,False,False,54,132,61.79367160797119,75.08203125,30,100 random starts; best objective selected; per-start dispersion summarized.,-72185.25011864981,-63755.73412931904,-61495.05184026381,min=-72185.25011864981;median=-63755.73412931904;max=-61495.05184026381;within1=30,non-logistic a/b/c coefficients not saved in source bundle
moby_dick,Moby Dick,arctan,20260415,,,,,,,274.4490429217702,0.5089905527313849,0.7180965009410862,-71764.9994097636,0.12017611012303012,False,False,False,False,False,False,False,74,30,88.0042872428894,75.0859375,39,100 random starts; best objective selected; per-start dispersion summarized.,-71764.9994097636,-70659.60604109388,-62860.47588622724,min=-71764.9994097636;median=-70659.60604109388;max=-62860.47588622724;within1=39,non-logistic a/b/c coefficients not saved in source bundle
king_james_bible,King James Bible,logistic,20260415,22.47724326481948,2.9999999999999996,65.75199838785488,25.32651610740785,2.6950021761653615,999.9999999999999,340.08967553183896,1.1885901599104254,0.48148130277371004,-54532.91035585803,0.1135918613925013,False,False,False,False,False,False,False,84,159,99.24402666091919,76.44140625,28,100 random starts; best objective selected; per-start dispersion summarized.,-54532.91035585803,-49246.723299164645,-43647.63296784994,min=-54532.91035585803;median=-49246.723299164645;max=-43647.63296784994;within1=28,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
king_james_bible,King James Bible,tanh,20260415,,,,,,,340.05673962023656,2.377344167369687,0.4815299142301039,-54532.91035319385,0.11359186140455345,False,False,False,False,False,False,False,22,52,206.3336682319641,76.33984375,39,100 random starts; best objective selected; per-start dispersion summarized.,-54532.91035319385,-49246.96172802405,-47352.394369587106,min=-54532.91035319385;median=-49246.96172802405;max=-47352.394369587106;within1=39,non-logistic a/b/c coefficients not saved in source bundle
king_james_bible,King James Bible,erf,20260415,,,,,,,336.73410430578775,2.5297298828594363,0.4849071325684716,-54922.18483900748,0.11184445304443172,False,False,False,False,False,False,False,90,35,2396.536383152008,76.44140625,27,100 random starts; best objective selected; per-start dispersion summarized.,-54922.18483900748,-49325.50501968004,-47487.060159390734,min=-54922.18483900748;median=-49325.50501968004;max=-47487.060159390734;within1=27,non-logistic a/b/c coefficients not saved in source bundle
king_james_bible,King James Bible,algebraic,20260415,,,,,,,358.20793522769117,2.699899270210287,0.45613912103015847,-53992.76984779752,0.11606180292856474,False,False,False,False,False,False,False,22,46,71.77945804595947,76.39453125,29,100 random starts; best objective selected; per-start dispersion summarized.,-53992.76984779752,-49225.3610086497,-47003.4556712486,min=-53992.76984779752;median=-49225.3610086497;max=-47003.4556712486;within1=29,non-logistic a/b/c coefficients not saved in source bundle
king_james_bible,King James Bible,arctan,20260415,,,,,,,389.0140464439944,1.9922640579834885,0.4175163052390686,-53366.46858760771,0.11899305586856328,False,False,False,False,False,False,False,23,66,55.46792936325073,76.43359375,11,100 random starts; best objective selected; per-start dispersion summarized.,-53366.46858760771,-49201.06932976145,-40995.93620001588,min=-53366.46858760771;median=-49201.06932976145;max=-40995.93620001588;within1=11,non-logistic a/b/c coefficients not saved in source bundle
federalist_papers,Federalist Papers,logistic,20260415,19.604045374856756,2.9999999999997424,35.96065437042965,25.107956378296105,2.739312473910759,999.9999999991721,227.8853693709266,1.448613949934828,0.4806638375852616,-37240.2216892983,0.11468227166965213,False,False,False,False,False,False,False,39,53,273.5113649368286,73.37109375,16,100 random starts; best objective selected; per-start dispersion summarized.,-37240.2216892983,-33673.62010733668,-31029.300267949908,min=-37240.2216892983;median=-33673.62010733668;max=-31029.300267949908;within1=16,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
federalist_papers,Federalist Papers,tanh,20260415,,,,,,,227.87669924680884,2.897440187188677,0.48068325213757884,-37240.221685498516,0.11468227169493743,False,False,False,False,False,False,False,77,115,359.17766213417053,73.46875,22,100 random starts; best objective selected; per-start dispersion summarized.,-37240.221685498516,-33674.15014043701,-27685.783749445174,min=-37240.221685498516;median=-33674.15014043701;max=-27685.783749445174;within1=22,non-logistic a/b/c coefficients not saved in source bundle
federalist_papers,Federalist Papers,erf,20260415,,,,,,,208.760943341056,3.0844813201684413,0.5252815816654005,-37414.615315046096,0.11352763509452228,False,False,False,False,False,False,False,68,56,1962.8360447883606,73.34765625,21,100 random starts; best objective selected; per-start dispersion summarized.,-37414.615315046096,-33714.29880095974,-32700.471810301744,min=-37414.615315046096;median=-33714.29880095974;max=-32700.471810301744;within1=21,non-logistic a/b/c coefficients not saved in source bundle
federalist_papers,Federalist Papers,algebraic,20260415,,,,,,,260.227522534587,3.247875286088577,0.417801013780216,-36989.98396019653,0.11635960656543179,False,False,False,False,False,False,False,60,67,111.77105665206909,73.296875,26,100 random starts; best objective selected; per-start dispersion summarized.,-36989.98396019653,-33633.540972673356,-32387.27222225768,min=-36989.98396019653;median=-33633.540972673356;max=-32387.27222225768;within1=26,non-logistic a/b/c coefficients not saved in source bundle
federalist_papers,Federalist Papers,arctan,20260415,,,,,,,300.96889127434827,2.3771114009282104,0.35722961823932503,-36667.99445767984,0.1185540340360809,False,False,False,False,False,False,False,73,68,42.202903270721436,73.30078125,14,100 random starts; best objective selected; per-start dispersion summarized.,-36667.99445767984,-33625.77397086809,-30065.198146759267,min=-36667.99445767984;median=-33625.77397086809;max=-30065.198146759267;within1=14,non-logistic a/b/c coefficients not saved in source bundle
grimms_fairy_tales,Grimm's Fairy Tales,logistic,20260415,9.518537512697073,0.9531943312385701,1.4268457918087638,20.816989829656663,2.4882409819652804,999.9999999999998,286.5136139790723,0.2383793152353836,0.1918463086498984,-21038.285202306233,0.108126970949065,False,False,False,False,False,False,False,45,42,595.8297472000122,72.79296875,6,100 random starts; best objective selected; per-start dispersion summarized.,-21038.285202306233,-18704.6184437983,-17972.249317345042,min=-21038.285202306233;median=-18704.6184437983;max=-17972.249317345042;within1=6,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
grimms_fairy_tales,Grimm's Fairy Tales,tanh,20260415,,,,,,,286.510984506243,0.4767629180723582,0.19184819371655598,-21038.285202556326,0.10812697094621611,False,False,False,False,False,False,False,52,54,463.4693627357483,72.7890625,4,100 random starts; best objective selected; per-start dispersion summarized.,-21038.285202556326,-18704.757789885207,-17972.24931958074,min=-21038.285202556326;median=-18704.757789885207;max=-17972.24931958074;within1=4,non-logistic a/b/c coefficients not saved in source bundle
