slug,corpus,token_count,vocabulary_size,variant,test_avg_nll,bic,rmse,step2_gain,step2_help,params_json,canonical_source
shakespeare,Complete Works of Shakespeare,988670,24458,nested,6.881303932203246,13578568.159618517,0.17507064896614577,-0.0005160281639211839,False,"{""b1"": 1.0189830428619187, ""b2"": 0.9200032938278424, ""b3"": 5.0, ""c1"": 2183.381126447778, ""c2"": 5000.0, ""c3"": 632.2572518109633, ""k"": 5.000358452917903, ""transition_fraction"": 0.1592830650241988, ""w"": 0.9295722320096239}",results/zipf_fully_ours_variants/summary.json
shakespeare,Complete Works of Shakespeare,988670,24458,three_regime,6.881593942949375,13577691.123631336,0.16219747563386674,-0.0007758256375981487,False,"{""b1"": 1.3264636164538306, ""b2"": 5.0, ""b3"": 2.0086004430683846, ""c1"": 2007.3164581913527, ""c2"": 1520.116640790359, ""c3"": 1671.7597566027514, ""k1"": 6.36281347840645, ""k2"": 2774.874623577641, ""transition_fraction_2"": 0.7846201200496292, ""w1"": 0.8758032541280322, ""w2"": 4.999906269615514}",results/zipf_fully_ours_variants/summary.json
war_and_peace,War and Peace,583368,17445,nested,6.67780034644499,7767099.094234726,0.18842625509862562,-0.0005287156854260344,False,"{""b1"": 2.678465822327239, ""b2"": 2.0940207247766014, ""b3"": 1.6765886974382715, ""c1"": 8.268711182241688, ""c2"": 24.669789673048616, ""c3"": 313.8274171808255, ""k"": 164.1914037126957, ""transition_fraction"": 0.5222824753406089, ""w"": 5.0}",results/zipf_fully_ours_variants/summary.json
war_and_peace,War and Peace,583368,17445,three_regime,6.677067746413472,7766783.260605305,0.18875075582062223,-0.00046216765972853513,False,"{""b1"": 2.8514310874331636, ""b2"": 2.0804031362949527, ""b3"": 1.6741003735422406, ""c1"": 7.71785944406581, ""c2"": 24.167118270496005, ""c3"": 313.83845922444283, ""k1"": 5.002372407326013, ""k2"": 200.00000561644256, ""transition_fraction_2"": 0.5424819657351002, ""w1"": 0.8555608030487682, ""w2"": 4.9954551143113}",results/zipf_fully_ours_variants/summary.json
moby_dick,Moby Dick,219054,16956,nested,6.945528285307001,3019293.7000931893,0.16149191298545323,-0.0010560475171088324,False,"{""b1"": 0.713388211350509, ""b2"": 0.8770803399200596, ""b3"": 5.0, ""c1"": 4.852611896271582, ""c2"": 3.4975580228485277, ""c3"": 0.0162907626103482, ""k"": 54.70104045730903, ""transition_fraction"": 0.41093939134418195, ""w"": 2.8330097520557667}",results/zipf_fully_ours_variants/summary.json
moby_dick,Moby Dick,219054,16956,three_regime,6.945861328053671,3019458.6885955874,0.16323645022955763,-0.0009455907214100945,False,"{""b1"": 5.0, ""b2"": 1.0352313512263955, ""b3"": 1.2426287216752623, ""c1"": 0.42637977695211643, ""c2"": 2.0407099838557605, ""c3"": 1.9728411683424316, ""k1"": 5.0, ""k2"": 200.00021181751188, ""transition_fraction_2"": 0.5440658549127685, ""w1"": 2.9918567031921897, ""w2"": 4.354893664005484}",results/zipf_fully_ours_variants/summary.json
king_james_bible,King James Bible,792180,12555,nested,6.0055525542958765,9512789.929784076,0.4245718309947707,0.15113629705736553,True,"{""b1"": 1.285872720143369, ""b2"": 4.236525440268275, ""b3"": 1.5107260631910324, ""c1"": 18.80297934940465, ""c2"": 16.835189836446816, ""c3"": 15.424908974496816, ""k"": 137.46940138440334, ""transition_fraction"": 0.5216642238788238, ""w"": 4.923937380962969}",results/zipf_fully_ours_variants/summary.json
king_james_bible,King James Bible,792180,12555,three_regime,6.008871648032749,9516083.600607393,0.33877853959472726,0.10751138968275481,True,"{""b1"": 1.5404460235261699, ""b2"": 1.0830255543090515, ""b3"": 3.1497975085587315, ""c1"": 1.8588123288824645, ""c2"": 14.821176334027651, ""c3"": 3.3756996805669823, ""k1"": 5.0, ""k2"": 200.10707271526522, ""transition_fraction_2"": 0.5614455580127966, ""w1"": 0.19473034431238612, ""w2"": 1.8867500886550421}",results/zipf_fully_ours_variants/summary.json
federalist_papers,Federalist Papers,192302,8617,nested,6.198651249932286,2372542.0428324807,0.1533752926815233,-0.0015807440400734951,False,"{""b1"": 5.0, ""b2"": 1.9815317192769164, ""b3"": 1.9462356670018381, ""c1"": 4947.581083345987, ""c2"": 1454.023710602181, ""c3"": 0.26478982689881503, ""k"": 4240.22866005912, ""transition_fraction"": 0.9217435961241932, ""w"": 1.1432710822682872}",results/zipf_fully_ours_variants/summary.json
federalist_papers,Federalist Papers,192302,8617,three_regime,6.1971681479472265,2372669.182133047,0.18171095138271579,-0.0008350510866369232,False,"{""b1"": 3.0375903809829237, ""b2"": 1.9751537761899787, ""b3"": 1.6399570157209986, ""c1"": 4.295531245691833, ""c2"": 21.16888005643672, ""c3"": 298.61759478205465, ""k1"": 5.321758629674907, ""k2"": 200.0000048314805, ""transition_fraction_2"": 0.5847069367573065, ""w1"": 2.999764874957035, ""w2"": 4.763734782350075}",results/zipf_fully_ours_variants/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,nested,6.07434715725743,1233830.6249403472,0.23326750436750726,0.022227615522600747,True,"{""b1"": 1.1308665562335598, ""b2"": 5.0, ""b3"": 1.4411235292724032, ""c1"": 26.452198363374197, ""c2"": 27.250079508730163, ""c3"": 13.571023782240664, ""k"": 82.51235009444265, ""transition_fraction"": 0.521313412590101, ""w"": 4.982341589263601}",results/zipf_fully_ours_variants/summary.json
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,three_regime,6.088981013293337,1233698.4391250275,0.1555103533998156,-0.00202065958930861,False,"{""b1"": 1.170700194433838, ""b2"": 4.959050980294715, ""b3"": 4.999986822245482, ""c1"": 3399.36224498871, ""c2"": 1.9520602453542297, ""c3"": 327.3140137185282, ""k1"": 13.051956183813612, ""k2"": 205.74940692494076, ""transition_fraction_2"": 0.6292525475101982, ""w1"": 0.8534049457990752, ""w2"": 2.1431101649532502}",results/zipf_fully_ours_variants/summary.json
don_quixote,Don Quixote,433304,15574,nested,6.494916239304502,5605888.429884717,0.15899725875761817,0.003001296422675326,True,"{""b1"": 3.083868122299622, ""b2"": 2.446211770228676, ""b3"": 1.9669817977944422, ""c1"": 16.43743432212954, ""c2"": 55.38796732850436, ""c3"": 993.5046581599794, ""k"": 283.6139594977763, ""transition_fraction"": 0.5850413852142933, ""w"": 5.0}",results/zipf_fully_ours_variants/summary.json
don_quixote,Don Quixote,433304,15574,three_regime,6.494708982711218,5605736.086398025,0.17730784694380697,0.001085987410086392,True,"{""b1"": 3.8886405596435885, ""b2"": 1.8534920338343117, ""b3"": 1.6933104469170674, ""c1"": 18.31651297690278, ""c2"": 0.632265400866042, ""c3"": 985.7977866528408, ""k1"": 200.0, ""k2"": 233.78807729629045, ""transition_fraction_2"": 0.5650277318530538, ""w1"": 0.9822898596596701, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,nested,6.338062207621781,1624407.3700233796,0.16046379659483312,-0.001201096776798527,False,"{""b1"": 0.8685029021687474, ""b2"": 2.0879135489557945, ""b3"": 1.8451673530827153, ""c1"": 4222.592128878787, ""c2"": 37.77740350849471, ""c3"": 458.974881555187, ""k"": 5.015542834821071, ""transition_fraction"": 0.1829485356827293, ""w"": 4.782595825486113}",results/zipf_fully_ours_variants/summary.json
pride_and_prejudice,Pride and Prejudice,128565,6729,three_regime,6.337304136125786,1624657.678446104,0.16045426747576189,-0.0016796570603208882,False,"{""b1"": 0.8097308766999427, ""b2"": 5.0, ""b3"": 4.874743579747063, ""c1"": 3161.8934644945216, ""c2"": 4489.554799296945, ""c3"": 1450.5652926543273, ""k1"": 5.32775854640388, ""k2"": 549.1212006576501, ""transition_fraction_2"": 0.7157010497302855, ""w1"": 0.8930084655321636, ""w2"": 0.05}",results/zipf_fully_ours_variants/summary.json
canterbury_tales,Canterbury Tales,281189,17653,nested,6.808673762683147,3810549.6962464214,0.17701454667246047,0.0007442985162577354,True,"{""b1"": 0.8274386006134189, ""b2"": 0.7153531871369129, ""b3"": 1.6481073286617627, ""c1"": 1187.480166982086, ""c2"": 4985.324189204416, ""c3"": 4999.999999827944, ""k"": 5.0, ""transition_fraction"": 0.16458673730585038, ""w"": 0.8838863441390991}",results/zipf_fully_ours_variants/summary.json
canterbury_tales,Canterbury Tales,281189,17653,three_regime,6.808002670523141,3810667.559292578,0.16897992058187752,-0.0002904580292803771,False,"{""b1"": 1.5851105885104924, ""b2"": 1.2079576013455793, ""b3"": 1.2585437988282189, ""c1"": 7.492533641715617, ""c2"": 2.9488335553116483, ""c3"": 82.058673229767, ""k1"": 5.260207906957122, ""k2"": 200.00030317412356, ""transition_fraction_2"": 0.5418245782120426, ""w1"": 2.9989161501295745, ""w2"": 3.611389893145306}",results/zipf_fully_ours_variants/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,nested,6.68278199486911,2337251.7761536962,0.1847119176789573,0.0014707384055907824,True,"{""b1"": 0.8024483637733513, ""b2"": 4.999249427639352, ""b3"": 1.2657854671299316, ""c1"": 45.0260623946856, ""c2"": 65.42571013002416, ""c3"": 3.133827778199249, ""k"": 144.56073267432788, ""transition_fraction"": 0.5214385120991766, ""w"": 3.5436928156435124}",results/zipf_fully_ours_variants/summary.json
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,three_regime,6.683443333294793,2337910.9582028487,0.18407718179572113,0.0010201075362455403,True,"{""b1"": 2.3232451910051046, ""b2"": 5.0, ""b3"": 1.2668388215729323, ""c1"": 2.9381826020946633, ""c2"": 7.081506498742817, ""c3"": 4.753572289730344, ""k1"": 5.0, ""k2"": 200.0003343309627, ""transition_fraction_2"": 0.5554713300863903, ""w1"": 0.27533344383445146, ""w2"": 4.1070114623248495}",results/zipf_fully_ours_variants/summary.json
aesops_fables,Aesop's Fables,41594,4394,nested,6.2235261618351005,508788.74758096045,0.16774539319821918,-0.001386099427805959,False,"{""b1"": 2.1896930157563452, ""b2"": 1.3111148703269602, ""b3"": 1.1727538576720893, ""c1"": 1.5027095277252382, ""c2"": 29.261855353197202, ""c3"": 1.0541935731535894, ""k"": 23.97230699751674, ""transition_fraction"": 0.37874357259594577, ""w"": 3.1831906881086973}",results/zipf_fully_ours_variants/summary.json
aesops_fables,Aesop's Fables,41594,4394,three_regime,6.223458945359848,508799.25751757325,0.16800162617553804,-0.0016934098894524907,False,"{""b1"": 1.6578857831119154, ""b2"": 1.2661887042963715, ""b3"": 1.1736376604449341, ""c1"": 1.6566074736502119, ""c2"": 9.619500380074712, ""c3"": 2.4658492057355463, ""k1"": 6.688625916540549, ""k2"": 200.00003734696242, ""transition_fraction_2"": 0.6316548106560848, ""w1"": 0.7573506502341054, ""w2"": 2.3977940089386567}",results/zipf_fully_ours_variants/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,nested,6.4572674140522315,1352744.8823344414,0.1702076923393422,-0.001140797181327785,False,"{""b1"": 1.0152544962454875, ""b2"": 0.8832851562096381, ""b3"": 2.145468198402904, ""c1"": 1.729004282590708, ""c2"": 0.0, ""c3"": 999.5229936288114, ""k"": 103.4175420384199, ""transition_fraction"": 0.5174861171708286, ""w"": 2.2989345043069975}",results/zipf_fully_ours_variants/summary.json
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,three_regime,6.456325805955777,1352976.910092849,0.1745554677277306,-0.0009041077793726926,False,"{""b1"": 0.9653905540738235, ""b2"": 1.1339277561990069, ""b3"": 1.351414052077493, ""c1"": 7.231407274503974, ""c2"": 1.5630053500548227, ""c3"": 999.6757313922359, ""k1"": 5.002485938541518, ""k2"": 200.0, ""transition_fraction_2"": 0.5910624934473645, ""w1"": 3.0, ""w2"": 4.981460598361214}",results/zipf_fully_ours_variants/summary.json
jane_eyre,Jane Eyre,189604,12541,nested,6.643698743523135,2516193.6879760907,0.1551994616505936,-0.0014127058250292535,False,"{""b1"": 0.44677727787222976, ""b2"": 0.44653949770823737, ""b3"": 1.3141049108979879, ""c1"": 640.5855840012348, ""c2"": 1856.596513681309, ""c3"": 564.0473301287811, ""k"": 8.355931493960435, ""transition_fraction"": 0.2249683122310525, ""w"": 0.7784890864185543}",results/zipf_fully_ours_variants/summary.json
jane_eyre,Jane Eyre,189604,12541,three_regime,6.645545828877641,2516593.92733361,0.1740199759262857,-0.0004546656116472536,False,"{""b1"": 1.9506178635863556, ""b2"": 1.1269897367811395, ""b3"": 1.3735225883796554, ""c1"": 7.587397893868225, ""c2"": 1.697796465989187, ""c3"": 1129.5910933946805, ""k1"": 5.4567634371839, ""k2"": 200.0, ""transition_fraction_2"": 0.5614552216426152, ""w1"": 2.0388727526770944, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
dubliners,Dubliners,69264,7157,nested,6.5162941641025025,896377.0687051271,0.18165992012674462,0.002350640592530262,True,"{""b1"": 2.6334751316447376, ""b2"": 2.1182829431152417, ""b3"": 1.2778236146965685, ""c1"": 2.1061756715137507, ""c2"": 0.0, ""c3"": 3.9918950194017873, ""k"": 102.39236653670181, ""transition_fraction"": 0.5215065776935383, ""w"": 2.259557453331299}",results/zipf_fully_ours_variants/summary.json
dubliners,Dubliners,69264,7157,three_regime,6.516261662488576,896316.4284190141,0.184944641475401,0.00207771020611508,True,"{""b1"": 0.959369772957791, ""b2"": 5.0, ""b3"": 1.3089120413812136, ""c1"": 63.36544429718514, ""c2"": 0.03625336162326683, ""c3"": 46.69496234848079, ""k1"": 8.271907827015976, ""k2"": 200.0, ""transition_fraction_2"": 0.5969365917850944, ""w1"": 0.5902300849608667, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
the_iliad,The Iliad,194969,12300,nested,6.887229073541098,2679799.764684396,0.17784449232040192,-0.0007083464329536437,False,"{""b1"": 2.7350145127426706, ""b2"": 0.9721320468001374, ""b3"": 4.825362798852061, ""c1"": 11.275899500394198, ""c2"": 4275.509764397917, ""c3"": 1305.8954059785653, ""k"": 5.0, ""transition_fraction"": 0.17090127650663853, ""w"": 1.0532720107126652}",results/zipf_fully_ours_variants/summary.json
