slug,corpus,family,c,linear_u,quadratic_u2,cubic_u3,head_rmse,head_r2,head_k
shakespeare,Complete Works of Shakespeare,high_family,244.84484777363113,-11.482518566739312,32.180475498155346,-18.049597344974135,0.04082128673551143,0.9958280055346335,200
war_and_peace,War and Peace,high_family,209.1315494553841,-6.416395135603873,15.93530754590022,-5.654703201632291,0.08119018240549829,0.982239013472683,200
moby_dick,Moby Dick,low_family,10.497932011426359,2.2273674120384235,-8.880687963717488,8.193858328816999,0.04716278794774613,0.8635812819711318,200
king_james_bible,King James Bible,high_family,171.38167664978175,-6.233623966179304,15.692173000207363,-6.025357648142516,0.0695607299215447,0.9848497943206592,200
federalist_papers,Federalist Papers,high_family,109.04140681413556,-5.052877364705198,10.675245832859787,-1.6608604314241049,0.046468374118879885,0.993404406712131,200
grimms_fairy_tales,Grimm's Fairy Tales,low_family,45.98251274197185,-0.1436652451574531,-3.057950878587546,5.6523139793389,0.07904151502000567,0.9041592887491197,200
don_quixote,Don Quixote,low_family,65.66394188576379,-5.720197782105863,13.482434232939271,-5.23925627952784,0.0642020335392247,0.9788795183441009,200
pride_and_prejudice,Pride and Prejudice,low_family,34.11942084275591,-2.9423787411733837,6.404273503882689,-2.070301855627291,0.041390047894619066,0.9699298378464906,200
canterbury_tales,Canterbury Tales,low_family,15.250535352832612,-0.8714094440571902,-0.18896410572941394,2.428898352799569,0.04465052073645446,0.932470266763493,200
arabian_nights_vol1,Arabian Nights (Vol 1),low_family,6.42540318643635,0.5628884767788205,-3.5566982698258482,3.862205029738421,0.07441370733121258,0.525313021177417,200
aesops_fables,Aesop's Fables,low_family,3.68769267556447,1.2469657556204585,-4.841460233657924,4.210515888133399,0.05449060595026358,0.45585931594127616,200
complete_sherlock_holmes,Complete Sherlock Holmes,low_family,10.294479612917323,-0.6966544881830246,0.38974445223353343,1.104351194511827,0.057995172177190385,0.7428594352397171,200
jane_eyre,Jane Eyre,low_family,16.307585257849095,-0.31047237950433676,-2.0552610911248874,4.033091456434663,0.07074435633504396,0.8662570909423765,200
dubliners,Dubliners,low_family,3.263282326595508,1.0530323608317476,-3.7543045756458273,2.98736319658425,0.06338936803871122,0.23076127897199572,200
the_iliad,The Iliad,high_family,137.39605844225042,-3.5135920488037558,5.318971636703063,2.3261934193030083,0.057347898468415925,0.9885691502605894,200
democracy_in_america,Democracy in America,high_family,110.90450314378926,-5.035092507913362,10.439206552646706,-1.3840087263845655,0.04800696363950184,0.9930636173759216,200
origin_of_species,Origin of Species,high_family,132.51415058330616,-4.797369477617111,10.735319771873279,-2.5274782493076837,0.07044097769476797,0.9812332008956983,200
wealth_of_nations,Wealth of Nations,high_family,180.40850551892163,-4.420376549254295,9.503166227520978,-1.173280276927685,0.047857101941085195,0.9924327194886023,200
les_miserables,Les Miserables,high_family,182.47253316947916,-8.74512252834247,21.94820838183315,-9.247187907389693,0.08087749327438115,0.9858381680408672,200
decline_and_fall_vol1,Decline and Fall Vol 1,high_family,211.07196916272378,-6.538145352486762,14.342094337804188,-2.826601320222147,0.06159884007435605,0.9927235133434021,200
emile,Emile,low_family,51.48067915381241,-4.93633006369232,11.535787428808543,-4.505297688151295,0.051047513193810554,0.981495017413979,200
ulysses,Ulysses,low_family,0.6324152122192379,-0.8694216648543388,3.7183283748652287,-3.380158011127441,0.03512701986790671,0.6088983393183063,200
collected_poe,Collected Poe,low_family,6.957528471368607,-0.5460844481942364,-1.2804265069475804,3.1290759006962032,0.06310894514950659,0.8400408343340495,200
principia_ethica,Principia Ethica,high_family,78.7645572814913,-2.104679748627156,2.513454992524707,2.4525852568057305,0.10537969255756814,0.9150364978051847,200
critique_of_pure_reason,Critique of Pure Reason,low_family,57.9583035946641,0.34684085761776423,-5.818363978553261,8.692820228882333,0.07735576053788565,0.9415957285804001,200
